entertainment_id,name,genre,rating,review_count,city,region,country,best_comment,source,source_id,source_url,data_period,snapshot_date,retrieved_at,is_live
entertainment_00000,المسرح الروماني | Roman Theater,Performing arts theater,4.1,151,Al Uqayr,,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00001,Maraya,Concert hall,4.6,1100,Al Atheeb,,Saudi Arabia,"""Also the theater is another level of perfection.""",entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00002,Muvi Cinemas - Jubail Mall,Movie theater,4.3,871,Jubail,Eastern Province,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00003,vox cinemas,Movie theater,4.2,3500,Riyadh,Riyadh,Saudi Arabia,"""Sound system and atmosphere very good.""",entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00004,AMC Cinemas Azizia 3,Movie theater,4.3,604,Riyadh,Riyadh,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00005,Muvi Cinemas | موڤي سينما,Movie theater,3.8,389,Dhahran,Eastern Province,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00006,VOX Cinemas - Kingdom Centre,Movie theater,4.3,1400,Riyadh,Riyadh,Saudi Arabia,"""Comfy chairs, and nice place for couples""",entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00007,AMC Cinemas Al Khair 9,Movie theater,4.3,1600,Riyadh,Riyadh,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00008,Empire Cinemas Khobar,Movie theater,3.9,1300,Al Khobar,Eastern Province,Saudi Arabia,"""Lovely place and staff, prices are reasonable, screens chairs are wonderful 👌🏻""",entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00009,Dhahran Movie Theatre,Movie theater,3.5,210,Dhahran,Eastern Province,Saudi Arabia,"""Its a small cinema and staff is not a happy bunch""",entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
