event_id,name,city,region,start_date,end_date,start_time,end_time,is_male_allowed,is_female_allowed,is_family_allowed,is_active,source,source_id,source_url,data_period,snapshot_date,retrieved_at,is_live
events_6cbfa3aeab8d,الألعاب النارية,,,2018-09-23,2018-09-23,22:00,22:30,True,True,True,False,enjoy_sa,,https://enjoy.sa/api/v1/odp/events/Get,2026-09-13,2026-09-13,2026-09-13T08:39:00.783382+00:00,True
events_650a510f864b,أمسية ليالي الخيمة الموسيقية,Jeddah,Makkah,2026-10-01,2026-10-01,21:30,01:00,True,True,True,True,enjoy_sa,,https://enjoy.sa/api/v1/odp/events/Get,2026-09-13,2026-09-13,2026-09-13T08:39:00.783382+00:00,True
events_45074fcbcda0,بهاء سلطان ورامي جمال في جدة,Jeddah,Makkah,2026-09-18,2026-09-18,20:00,00:00,True,True,False,True,enjoy_sa,,https://enjoy.sa/api/v1/odp/events/Get,2026-09-13,2026-09-13,2026-09-13T08:39:00.783382+00:00,True
events_9b0f8c36c420,حفلة عمرو دياب في جدة,Jeddah,Makkah,2026-09-17,2026-09-17,20:00,01:00,True,True,False,True,enjoy_sa,,https://enjoy.sa/api/v1/odp/events/Get,2026-09-13,2026-09-13,2026-09-13T08:39:00.783382+00:00,True
events_16ba99614319,حفلة عايض في جدة,Jeddah,Makkah,2026-09-04,2026-09-04,20:00,00:00,True,True,False,False,enjoy_sa,,https://enjoy.sa/api/v1/odp/events/Get,2026-09-13,2026-09-13,2026-09-13T08:39:00.783382+00:00,True
events_98616a960747,حفلة كايروكي وقوستلي كيسيز,Jeddah,Makkah,2026-09-03,2026-09-03,20:00,00:00,True,True,False,False,enjoy_sa,,https://enjoy.sa/api/v1/odp/events/Get,2026-09-13,2026-09-13,2026-09-13T08:39:00.783382+00:00,True
events_ab3c4e7f26e5,حفل تامر عاشور,Jeddah,Makkah,2026-08-27,2026-08-27,21:00,01:00,True,True,False,False,enjoy_sa,,https://enjoy.sa/api/v1/odp/events/Get,2026-09-13,2026-09-13,2026-09-13T08:39:00.783382+00:00,True
events_7c387d9b2f0c,حفلة انفام في جدة,Jeddah,Makkah,2026-08-14,2026-08-14,20:00,00:00,True,True,False,False,enjoy_sa,,https://enjoy.sa/api/v1/odp/events/Get,2026-09-13,2026-09-13,2026-09-13T08:39:00.783382+00:00,True
events_9b421b053618,حفلة رامي صبري في جدة,Jeddah,Makkah,2026-08-07,2026-08-07,20:00,00:00,True,True,False,False,enjoy_sa,,https://enjoy.sa/api/v1/odp/events/Get,2026-09-13,2026-09-13,2026-09-13T08:39:00.783382+00:00,True
events_434517a4a00c,صيف سيان الترفيهي,Jeddah,Makkah,2026-06-30,2026-08-30,15:00,00:00,True,True,True,False,enjoy_sa,,https://enjoy.sa/api/v1/odp/events/Get,2026-09-13,2026-09-13,2026-09-13T08:39:00.783382+00:00,True
events_3b9f8945a2ec,حفلة اليسا و وائل جسار في جدة,Jeddah,Makkah,2026-07-31,2026-07-31,20:00,00:00,True,True,False,False,enjoy_sa,,https://enjoy.sa/api/v1/odp/events/Get,2026-09-13,2026-09-13,2026-09-13T08:39:00.783382+00:00,True
events_4f98d43985ef,Lenny Jay‘s This Is Michae in Jeddah,Jeddah,Makkah,2026-08-21,2026-08-21,20:00,00:00,True,True,False,False,enjoy_sa,,https://enjoy.sa/api/v1/odp/events/Get,2026-09-13,2026-09-13,2026-09-13T08:39:00.783382+00:00,True
events_e099b1e6990c,جولة التحدي,Jeddah,Makkah,2021-12-29,2030-12-29,17:00,23:45,True,True,True,True,enjoy_sa,,https://enjoy.sa/api/v1/odp/events/Get,2026-09-13,2026-09-13,2026-09-13T08:39:00.783382+00:00,True
