hotel_id,source_id,name,city,region,price_sar,star_rating,guest_rating,guest_rating_count,room_type,bed_type,max_persons,breakfast_included,free_cancellation,latitude,longitude,source_url,source,data_period,snapshot_date,retrieved_at,is_live
hotels_00000,6330099,الريم,Al Ula,Madinah,179,5,,,Economy Double Room,3 beds (3 large doubles),2,,True,26.648656,37.917525,https://www.booking.com/hotel/sa/lrym.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=633009902_249116704_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=1&highlighted_blocks=633009902_249116704_2_0_0&hpos=1&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=633009902_249116704_2_0_0__17940&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl,booking_kaggle,2020,2020-04-24,2026-09-13T06:37:49.339055+00:00,False
hotels_00001,5326174,Copper Crown Furnished Apartments,Khamis Mushait,Asir,195,5,9.0,169,Deluxe Room (2 Adults + 1 Child),1 bed (1 extra-large double),2,,True,18.2427413609442,42.8014022886982,https://www.booking.com/hotel/sa/kwbr-krwn-llshqq-lfndqyh.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=532617402_191903030_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=2&highlighted_blocks=532617402_191903030_2_0_0&hpos=2&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=532617402_191903030_2_0_0__19499&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl,booking_kaggle,2020,2020-04-24,2026-09-13T06:37:49.339055+00:00,False
hotels_00002,5987844,فندق راية الشلال 2,Abū Qa‘Ar,,200,5,8.7,17,Deluxe Double or Twin Room,1 bed (1 double),2,,True,28.370666,45.990981,https://www.booking.com/hotel/sa/fndq-ry-lshll-2.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=598784401_234887103_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=3&highlighted_blocks=598784401_234887103_2_0_0&hpos=3&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=598784401_234887103_2_0_0__20000&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl,booking_kaggle,2020,2020-04-24,2026-09-13T06:37:49.339055+00:00,False
hotels_00003,3889445,Four Points by Sheraton Makkah Al Naseem,Makkah,Makkah,225,5,8.7,9,Superior Twin Room,2 beds (2 singles),2,,True,21.38081,39.874312,https://www.booking.com/hotel/sa/four-points-by-sheraton-makkah-al-naseem.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=388944505_251376099_0_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=4&highlighted_blocks=388944505_251376099_0_2_0&hpos=4&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=388944505_251376099_0_2_0__22500&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl,booking_kaggle,2020,2020-04-24,2026-09-13T06:37:49.339055+00:00,False
hotels_00004,6284346,نزل الثريا للوحدات السكنية,Taif,Makkah,250,5,,,Budget Double Room,1 bed (1 double),2,,True,21.4945239908093,40.4873830197907,https://www.booking.com/hotel/sa/nzl-lthry-llwhdt-lskny.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=628434602_244840443_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=5&highlighted_blocks=628434602_244840443_2_0_0&hpos=5&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=628434602_244840443_2_0_0__24999&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl,booking_kaggle,2020,2020-04-24,2026-09-13T06:37:49.339055+00:00,False
hotels_00005,1224842,فندق رفاف المشاعر,Makkah,Makkah,295,5,8.4,719,Standard Room King,1 bed (1 extra-large double),2,True,True,21.4030676544103,39.8731560116089,https://www.booking.com/hotel/sa/reefaf-al-mashaer-makkah.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=122484213_235715549_2_1_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=6&highlighted_blocks=122484213_235715549_2_1_0&hpos=6&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=122484213_235715549_2_1_0__29478&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl,booking_kaggle,2020,2020-04-24,2026-09-13T06:37:49.339055+00:00,False
hotels_00006,6367195,مسكن الراحة,An Nikāshah,,300,5,,,Two-Bedroom Apartment,"3 beds (2 singles, 1 extra-large double)",4,,True,21.368414,39.82266,https://www.booking.com/hotel/sa/mskn-lrh.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=636719502_249718498_4_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=7&highlighted_blocks=636719502_249718498_4_0_0&hpos=7&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=636719502_249718498_4_0_0__30000&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl,booking_kaggle,2020,2020-04-24,2026-09-13T06:37:49.339055+00:00,False
hotels_00007,254592,Corp Inn Deira.,Riyadh,Riyadh,312,5,7.0,397,Grand Room,1 bed (1 large double),2,,True,24.6343470435907,46.7165037989616,https://www.booking.com/hotel/sa/corp-city-center.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=25459201_98662375_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=8&highlighted_blocks=25459201_98662375_2_0_0&hpos=8&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=25459201_98662375_2_0_0__31150&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl,booking_kaggle,2020,2020-04-24,2026-09-13T06:37:49.339055+00:00,False
hotels_00008,352664,Al Gosaibi Hotel,Al Khobar,Eastern Province,340,5,8.1,2,Superior Twin Room,2 beds (2 singles),2,,True,26.3069709,50.2207306,https://www.booking.com/hotel/sa/al-gosaibi.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=35266419_243587419_0_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=9&highlighted_blocks=35266419_243587419_0_2_0&hpos=9&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=35266419_243587419_0_2_0__34000&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl,booking_kaggle,2020,2020-04-24,2026-09-13T06:37:49.339055+00:00,False
hotels_00009,247347,Makarem Umm Al Qura Hotel,Makkah,Makkah,350,5,7.7,6,Deluxe Twin Room,2 beds (2 singles),2,,,21.4026930012578,39.8304417729378,https://www.booking.com/hotel/sa/umm-alqura-makarim.en-gb.html?aid=304142&label=gen173nr-1BCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AEB6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=24734709_127047022_0_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=10&highlighted_blocks=24734709_127047022_0_2_0&hpos=10&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=24734709_127047022_0_2_0__35000&srepoch=1587182829&srpvid=e5621cf679830031&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl,booking_kaggle,2020,2020-04-24,2026-09-13T06:37:49.339055+00:00,False
