place_id,source_id,name,is_restaurant,categories,granular_category,average_rating,rate_count,city,region,latitude,longitude,source,source_url,data_period,snapshot_date,retrieved_at,is_live
places_00000,1,Shawarma Alaz,True,Sandwich|Fast Food|Shawarma,restaurants,3.0,3,Riyadh,Riyadh,24.6451181,46.7176402,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00001,2,Eben Ezar,True,Asian|Japanese,restaurants,3.2,5,Riyadh,Riyadh,24.6466308,46.7176585,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00002,3,Chowking,True,Noodles,restaurants,4.5,305,Riyadh,Riyadh,24.646194,46.717444,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00003,4,100 islands delights,True,Asian|Seafood,restaurants,4.4,239,Riyadh,Riyadh,24.6463337,46.7173288,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00004,5,CUSINA Cafe,True,Coffee,restaurants,4.7,19,Riyadh,Riyadh,24.6456276,46.71711,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00005,6,Jollibee,True,Fast Food|American,restaurants,4.7,167,Riyadh,Riyadh,24.64646655,46.71722455,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00006,7,Lapaz Batchoy,True,Grill|Asian|Seafood|Noodles,restaurants,4.3,70,Riyadh,Riyadh,24.646476,46.71719,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00007,8,Sushi Cutie,True,Asian,restaurants,5.0,1,Riyadh,Riyadh,24.6464123,46.7166802,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00008,9,Uncle Majid,True,Grill|Asian|Seafood|Noodles,restaurants,4.5,19,Riyadh,Riyadh,24.6469306,46.7168046,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00009,10,CUSINA,True,Grill|Seafood,restaurants,3.9,7,Riyadh,Riyadh,24.6463114,46.7166197,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00010,11,Sushi Cutie,True,Asian,restaurants,1.0,1,Riyadh,Riyadh,24.6463114,46.7166197,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00011,12,Soft Stream Sushi,True,Asian,restaurants,5.0,3,Riyadh,Riyadh,24.6463114,46.7166197,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00012,13,Manga Al Zaeem For Juices,True,Desserts|Beverages|Juices,restaurants,3.8,113,Riyadh,Riyadh,24.6379299,46.7205781,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00013,14,Classic Restaurant,True,Arabic|Indian,restaurants,4.1,203,Riyadh,Riyadh,24.64002322,46.71721662,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00014,15,Jareer Sweet,True,Desserts,restaurants,4.5,37,Riyadh,Riyadh,24.635669,46.71465,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00015,16,BANA,False,Beauty &amp; Perfume,beauty,,0,Riyadh,Riyadh,24.633701,46.7169456,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00016,17,Jasmine restaurant,True,Sandwich|Fast Food|American|Breakfast,restaurants,3.8,32,Riyadh,Riyadh,24.6307508,46.7172575,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00017,18,Delta pharmacy,False,Pharmacy,pharmacies,4.7,148,Riyadh,Riyadh,24.660926,46.725106,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00018,19,Adam pharmacy,False,Pharmacy,pharmacies,4.8,274,Riyadh,Riyadh,24.650239,46.706105,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00019,20,Al Rasheed Pastries,True,Desserts,restaurants,4.5,35,Riyadh,Riyadh,24.651384,46.706471,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00020,21,DNP,False,Health &amp; Wellness,health_and_wellness,5.0,5,Riyadh,Riyadh,24.6618024,46.7294133,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00021,22,Knafet Al Bagajati,True,Desserts|Arabic|American,restaurants,5.0,4,Riyadh,Riyadh,24.6578829,46.7102456,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00022,23,Saadeddin pastry,True,Desserts|Arabic|Bakery|Ice Cream,restaurants,4.4,322,Riyadh,Riyadh,24.6578829,46.7102456,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00023,24,Mehamar w Meshmar,True,Sandwich|Arabic|Lebanese,restaurants,3.0,2,Riyadh,Riyadh,24.65801685,46.71026321,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00024,25,Alharfoosh,True,Fast Food|Arabic,restaurants,,0,Riyadh,Riyadh,24.65801685,46.71026321,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00025,26,Rihanna Of the house,True,Arabic,restaurants,3.6,7,Riyadh,Riyadh,24.65801685,46.71026321,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00026,27,ANJAPPAR,True,Fast Food|Indian,restaurants,4.3,361,Riyadh,Riyadh,24.6619838,46.7295868,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00027,28,Furan Al Dayaa,True,Sandwich|Arabic|Bakery,restaurants,4.5,1170,Riyadh,Riyadh,24.662272,46.729495,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00028,29,Starbucks®,True,Desserts|Bakery|Beverages|Coffee|Breakfast|Roastery,restaurants,4.4,413,Riyadh,Riyadh,24.66256968,46.72981895,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00029,30,NG Beauty,False,Beauty &amp; Perfume,beauty,,0,Riyadh,Riyadh,24.6404235,46.7027962,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00030,31,Herfy,True,Sandwich|Fast Food|Burgers,restaurants,4.3,559,Riyadh,Riyadh,24.637908,46.703138,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00031,32,HungerStation Market,False,Supermarkets,darkstores,4.7,7679,Riyadh,Riyadh,24.665707,46.728111,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00032,33,Bab Sharqi Coffee,True,Desserts|Beverages|Coffee|Juices,restaurants,4.5,26,Riyadh,Riyadh,24.644532,46.700351,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00033,34,Everyday Coffee Roastery,True,Desserts|Beverages|Coffee,restaurants,4.4,1955,Riyadh,Riyadh,24.6658529,46.7284382,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00034,35,Methaas Bakery &amp; Desserts,True,Fast Food|Desserts|Bakery|Indian,restaurants,,0,Riyadh,Riyadh,24.6289679,46.7393167,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00035,36,Kudu,True,Sandwich|Fast Food|Grill|Burgers|Breakfast,restaurants,4.2,377,Riyadh,Riyadh,24.666438,46.724525,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00036,37,Alkhafeef,True,Grill|Arabic|Bakery,restaurants,4.4,111,Riyadh,Riyadh,24.66645625,46.7246701,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00037,38,Juice Time,True,Beverages|Juices,restaurants,4.6,580,Riyadh,Riyadh,24.665279,46.7314387,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00038,39,Maestro Pizza,True,Fast Food|Italian|International|Pizza,restaurants,4.3,290,Riyadh,Riyadh,24.66614,46.7308,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00039,40,Pinzatta,True,Sandwich|Fast Food|Italian|Healthy|Pizza,restaurants,4.2,25,Riyadh,Riyadh,24.66614135,46.7308491,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00040,41,Mad Pizza,True,Desserts|Italian|American|Beverages|International|Pizza,restaurants,3.9,50,Riyadh,Riyadh,24.6661706,46.7309242,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00041,42,Red Chilli,True,Grill|Seafood|Indian,restaurants,4.5,233,Riyadh,Riyadh,24.665103,46.710423,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00042,43,Red Cherry For Sweets,True,Desserts|Indian,restaurants,4.6,218,Riyadh,Riyadh,24.66536106,46.71036925,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
