review_id,place_name_raw,place_id,review_text,city,category,sent_price,sent_cleanliness,sent_facilities,sent_service,sent_environment,sent_overall,source,source_id,source_url,data_period,snapshot_date,retrieved_at,is_live
reviews_00000,منتزه الخلب,,منتزه وحديقة البرج مكان جميل بعد المندق مررنا مرور عليه في طريق العودة المطعم اكله لذيذ ونظيف وتوجد جلسات تجلس ساعة مع طلب المطعم وبعد الساعة تنحسب رسوم 20 ريال للساعة متوفر كشكات بسيطة وشعبية في الكهف وكشكات بطاطس و ايس كريم ومشروبات كما تتوفر درجات للاطفال و العاب 20 دقيقه ب 10 لكن وجدناها متسخة مع الامطار والاجواء ( دخولنا كان وقت ممطر ) ولا اعلم مدى نظافتها في الايام العادية الاسعار تعتبر مناسبة ، زرتها قبل كذا الاجواء والمناظر في النهار افضل من الليل وخاصة وقت الغيوم,Al Bahah,منتزه,1,-1,1,,1,1,reviews_zenodo,,https://zenodo.org/records/16924532,static,,2026-09-13T06:19:18.696424+00:00,False
reviews_00001,منتزه الخلب,,مكان جميل يهمني وجود العاب للاطفالعندهم مجموعة ترامبولين الدخول ب٢٠ للطفل وقت مفتوحعندهم دراجات ٢٠ دقيقه ب١٠ريالحبيت وجود اشياء مسليه للاطفال تريح الاهل من ازعاجهم 😂❤️بالنسبه للمكان جميل ورايق خاصة هالايام الاجواء جميله جدا ضباب ومطريوجد جلسات ارضيه الساعه ب٢٠وجلسات داخليه غرف مطله بس ما سألت بكمعندهم بازار متواضع في الكهف الدور ٢عندهم مقهى في الدور الثالثحبيت وجود مواقف لذوي الاحتياجات الخاصهتمنيت ممنوع التدخين او على الاقل يحطو لهم منطقه خاصه لما نعانيه من الربو والحساسيه,Al Bahah,منتزه,1,,1,,1,1,reviews_zenodo,,https://zenodo.org/records/16924532,static,,2026-09-13T06:19:18.696424+00:00,False
reviews_00002,منتزه الخلب,,موقع جميلمطل على منظر حلوولكن يحتاج اهتمام اكثرحبيت ان الدخول للمنتزة بدون رسومتوجد غرف بسعر ٥٠ ريال للساعه وعند التجديد ٢٥ ريالوتوجد جلسات ارضيه ..يوجد مطعم البرجماجربتهالمنتزة بمنظره جميل ليل او وقت العصر,Al Bahah,منتزه,1,,1,,1,1,reviews_zenodo,,https://zenodo.org/records/16924532,static,,2026-09-13T06:19:18.696424+00:00,False
reviews_00003,منتزه الخلب,,مكان ولا احلى... زرته قبل ثلاث سنوات كان عادي.الان تطور بدرجة كبيره وجميله.الاجواء كانت لندنيه رائعه .مكان يستحق الزياره,Al Bahah,منتزه,,,1,,1,1,reviews_zenodo,,https://zenodo.org/records/16924532,static,,2026-09-13T06:19:18.696424+00:00,False
reviews_00004,منتزه الخلب,,المكان رائع لكن الدرجات بين الناس كارثه كل شويه واحد يصدم في الناس او يطيح والسيارة الكلاسيكيه حطو عليها حواجز الاطفال يلعبون عليها ويطلعون فوقها ويخربون فيها ، بالنسبة للجلسات ٢٠ ريال للساعة اذا كان الشخص طالب قهوة وشاهي مفروض يتخفض له لاني لو بجلس ساعتين او ثلاث كل ساعة ب ٢٠ اتوقع مبالغ فيه اذا كنت طالب مشاريب ، بالنسبة لحمامات الرجال اللي فالمسجد تحتاج صيانة لادواتها,Al Bahah,منتزه,-1,,-1,,1,0,reviews_zenodo,,https://zenodo.org/records/16924532,static,,2026-09-13T06:19:18.696424+00:00,False
reviews_00005,منتزه الخلب,,ممتاز والمطعم ممتاز بس اسعار الجلسات عاليه واطلالتها غير جيده ولا يوجد العاب مجانيه للاطفال زحلايق ومراجيح,Al Bahah,منتزه,-1,,1,,,0,reviews_zenodo,,https://zenodo.org/records/16924532,static,,2026-09-13T06:19:18.696424+00:00,False
reviews_00006,منتزه الخلب,,مكان موقعه مرتفع ومطل جميل للي يحب الجلسات والقهوه والشاي .. انا عني ماعجبني كثير دخلنا فقط اخذنا لفه ومشينا ..,Al Bahah,منتزه,,,1,,1,-1,reviews_zenodo,,https://zenodo.org/records/16924532,static,,2026-09-13T06:19:18.696424+00:00,False
reviews_00007,منتزه الخلب,,بصراحة من أجمل الأماكن الي زرتها بالباحة متنوع جلسات خارجية ومطعم والكهف فيه بالدور العلوي كافي ابداااع ونظافة واهتمام والأكل لا يعلى عليه المشويات طازجة ولذيذة وكوشكات بكل مكان فيه كل التسالي والمشروبات يستاهل الزيارة ويستاهل الخمس نجوم بجدارة 👍🏼,Al Bahah,منتزه,,1,1,,1,1,reviews_zenodo,,https://zenodo.org/records/16924532,static,,2026-09-13T06:19:18.696424+00:00,False
reviews_00008,منتزه الخلب,,المشكلة في البلاط تزلق وتطيح... مكتوب يفتحون خمس لكن الفعلي ثمان وزين ان لقيت أحد يعطيك وجههالجلسات رائعة كذلك الكهف والاطلالة من البرج ممتازةللأسف دخلت وطعلت لم أجد احد الآن الساعة سبع,Al Bahah,منتزه,,,1,-1,1,-1,reviews_zenodo,,https://zenodo.org/records/16924532,static,,2026-09-13T06:19:18.696424+00:00,False
reviews_00009,منتزه الخلب,,المكان جميل، ينقصه الاهتمام أكثر بالزوار1. الاهتمام أكثر بدورات المياه، تزويدها بالصابون2. وجود الدراجات امر مزعج للغاية تعيق الحركة، كثرتها تسبب الحوادث، حصل امامي 3 حالات سقوط نظرا لتداخل الدراجات مع الزوار,Al Bahah,منتزه,,,-1,,1,0,reviews_zenodo,,https://zenodo.org/records/16924532,static,,2026-09-13T06:19:18.696424+00:00,False
