entity_id,entity_type,name,category,city,region,latitude,longitude,rating_norm,price_sar,source,source_url,data_period,snapshot_date,retrieved_at,is_live
places_00000,place,Shawarma Alaz,restaurants,Riyadh,Riyadh,24.6451181,46.7176402,0.6,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00001,place,Eben Ezar,restaurants,Riyadh,Riyadh,24.6466308,46.7176585,0.64,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00002,place,Chowking,restaurants,Riyadh,Riyadh,24.646194,46.717444,0.9,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00003,place,100 islands delights,restaurants,Riyadh,Riyadh,24.6463337,46.7173288,0.8800000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00004,place,CUSINA Cafe,restaurants,Riyadh,Riyadh,24.6456276,46.71711,0.9400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00005,place,Jollibee,restaurants,Riyadh,Riyadh,24.64646655,46.71722455,0.9400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00006,place,Lapaz Batchoy,restaurants,Riyadh,Riyadh,24.646476,46.71719,0.86,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00007,place,Sushi Cutie,restaurants,Riyadh,Riyadh,24.6464123,46.7166802,1.0,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00008,place,Uncle Majid,restaurants,Riyadh,Riyadh,24.6469306,46.7168046,0.9,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00009,place,CUSINA,restaurants,Riyadh,Riyadh,24.6463114,46.7166197,0.78,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00010,place,Sushi Cutie,restaurants,Riyadh,Riyadh,24.6463114,46.7166197,0.2,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00011,place,Soft Stream Sushi,restaurants,Riyadh,Riyadh,24.6463114,46.7166197,1.0,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00012,place,Manga Al Zaeem For Juices,restaurants,Riyadh,Riyadh,24.6379299,46.7205781,0.76,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00013,place,Classic Restaurant,restaurants,Riyadh,Riyadh,24.64002322,46.71721662,0.82,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00014,place,Jareer Sweet,restaurants,Riyadh,Riyadh,24.635669,46.71465,0.9,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00015,place,BANA,beauty,Riyadh,Riyadh,24.633701,46.7169456,,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00016,place,Jasmine restaurant,restaurants,Riyadh,Riyadh,24.6307508,46.7172575,0.76,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00017,place,Delta pharmacy,pharmacies,Riyadh,Riyadh,24.660926,46.725106,0.9400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00018,place,Adam pharmacy,pharmacies,Riyadh,Riyadh,24.650239,46.706105,0.96,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00019,place,Al Rasheed Pastries,restaurants,Riyadh,Riyadh,24.651384,46.706471,0.9,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
