canonical_id,source,source_entity_id,entity_type,name,city,region
ASR_000001,booking_kaggle,hotels_00732,hotel,AL Faridah Furnished Units,Khamis Mushait,Asir
ASR_000002,booking_kaggle,hotels_00428,hotel,Abha Airport Hotel,Abha,Asir
ASR_000003,booking_kaggle,hotels_00040,hotel,Abha Palace Hotel,Abha,Asir
ASR_000004,booking_kaggle,hotels_00293,hotel,Abha Sky (Families Only),Abha,Asir
ASR_000005,booking_kaggle,hotels_00804,hotel,Al Afaq Alraqi Furnished Apartments (Families only),Abha,Asir
ASR_000006,booking_kaggle,hotels_00706,hotel,Al Arjowan Hotel Units,Abha,Asir
ASR_000007,booking_kaggle,hotels_00799,hotel,Al Joud Palace Residential Units,Abha,Asir
ASR_000008,booking_kaggle,hotels_00997,hotel,Al Narjis Suites - Abha,Abha,Asir
ASR_000009,booking_kaggle,hotels_00982,hotel,Al Qasr Almomayaz Aparthotel,Abha,Asir
ASR_000010,booking_kaggle,hotels_01004,hotel,Al Raha Rotana Hotel Apartments,Khamis Mushait,Asir
ASR_000011,booking_kaggle,hotels_00090,hotel,Al Reef Homes Hotel,Abha,Asir
ASR_000012,booking_kaggle,hotels_00341,hotel,Al Reef Homes Hotel Apartments Alnuzhah,Abha,Asir
ASR_000013,booking_kaggle,hotels_00044,hotel,Bayat Hotel By Cristal,Khamis Mushait,Asir
ASR_000014,booking_kaggle,hotels_00991,hotel,Beautat Hotel,Abha,Asir
ASR_000015,booking_kaggle,hotels_00018,hotel,Blue inn Boutique,Abha,Asir
ASR_000016,booking_kaggle,hotels_00941,hotel,Burj Al Alailah Furnished Units (Families only),Muhayil,Asir
ASR_000017,booking_kaggle,hotels_00001,hotel,Copper Crown Furnished Apartments,Khamis Mushait,Asir
ASR_000018,booking_kaggle,hotels_00650,hotel,Golden Abha,Abha,Asir
ASR_000019,booking_kaggle,hotels_00842,hotel,Kanaf Abaha Aparthotel,Abha,Asir
ASR_000020,booking_kaggle,hotels_01012,hotel,Khuzama Abha Furnished Apartments,Abha,Asir
ASR_000021,booking_kaggle,hotels_00964,hotel,La Casa Hotel Apartment,Khamis Mushait,Asir
ASR_000022,booking_kaggle,hotels_00696,hotel,La Fontaine Ronas Suites,Abha,Asir
ASR_000023,booking_kaggle,hotels_00679,hotel,Mawasim Aghadeer Hotel,Abha,Asir
ASR_000024,booking_kaggle,hotels_00837,hotel,Melaf Suites,Abha,Asir
ASR_000025,booking_kaggle,hotels_00230,hotel,Mercure Hotel Khamis Mushayt,Khamis Mushait,Asir
ASR_000026,booking_kaggle,hotels_00730,hotel,Milá Hotel 2,Khamis Mushait,Asir
ASR_000027,entertainment_kaggle,entertainment_00105,entertainment,Muvi Cinemas | موڤي سينما,Khamis Mushait,Asir
ASR_000028,entertainment_kaggle,entertainment_00130,entertainment,Muvi Cinemas | موڤي سينما,Khamis Mushait,Asir
ASR_000029,booking_kaggle,hotels_00613,hotel,OYO 315 Ramz Abha Hotel,Abha,Asir
ASR_000030,booking_kaggle,hotels_00492,hotel,OYO 324 Green House Hotel Abha,Abha,Asir
ASR_000031,booking_kaggle,hotels_00266,hotel,OYO 369 Arwa Alqosor,Abha,Asir
ASR_000032,booking_kaggle,hotels_00701,hotel,OYO 410 Diamy Apartments,Khamis Mushait,Asir
ASR_000033,booking_kaggle,hotels_00292,hotel,OYO 412 Qasr Aseer,Khamis Mushait,Asir
ASR_000034,booking_kaggle,hotels_00587,hotel,OYO 467 Al Dahya Hotel,Abha,Asir
ASR_000035,booking_kaggle,hotels_00772,hotel,Qasr Al Dabab Furnished Units- Families only,Abha,Asir
ASR_000036,booking_kaggle,hotels_00795,hotel,Qasr Dalin Furnished Apartments,Khamis Mushait,Asir
ASR_000037,booking_kaggle,hotels_01016,hotel,Quite Night Hotel Apartments,Khamis Mushait,Asir
ASR_000038,booking_kaggle,hotels_00757,hotel,Rayanat Abha Aparthotel,Abha,Asir
