indicator,period,dimension,dimension_value,value,unit,source,source_id,source_url,data_period,snapshot_date,retrieved_at,is_live
tourists_by_purpose,2015,trip_purpose|nationality,Leisure | Saudi,11373.172163435387,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2015,trip_purpose|nationality,Business | Saudi,1041.5626354697215,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2015,trip_purpose|nationality,Visiting Friends & Relatives | Saudi,1544.7403108429253,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2015,trip_purpose|nationality,Other | Saudi,1188.7353107588408,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2015,trip_purpose|nationality,Leisure | Non Saudi,179.70833781951967,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2015,trip_purpose|nationality,Business | Non Saudi,966.9216236253508,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2015,trip_purpose|nationality,Visiting Friends & Relatives | Non Saudi,583.5285550682322,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2015,trip_purpose|nationality,Other | Non Saudi,3940.471507349253,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2015,trip_purpose|nationality,Religious | Total,20786.24874839264,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2015,trip_purpose|nationality,Leisure | Total,21963.72756138908,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2015,trip_purpose|nationality,Business | Total,16080.420734469968,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2015,trip_purpose|nationality,Visiting Friends & Relatives | Total,16220.19534737875,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2015,trip_purpose|nationality,Other | Total,10212.906571837802,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2016,trip_purpose|nationality,Leisure | Saudi,7657.313895044244,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2016,trip_purpose|nationality,Business | Saudi,352.996369826338,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2016,trip_purpose|nationality,Visiting Friends & Relatives | Saudi,966.983592694871,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2016,trip_purpose|nationality,Other | Saudi,229.83574589884705,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2016,trip_purpose|nationality,Leisure | Non Saudi,790.530367344029,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2016,trip_purpose|nationality,Business | Non Saudi,4134.055946580207,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2016,trip_purpose|nationality,Visiting Friends & Relatives | Non Saudi,418.95026710653,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2016,trip_purpose|nationality,Other | Non Saudi,6656.1734361585,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2016,trip_purpose|nationality,Religious | Total,20014.05749247359,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2016,trip_purpose|nationality,Leisure | Total,20458.88296430672,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
