year,region,tourism_type,tourists_thousands,overnight_stays_thousands,spending_million_sar,avg_stay_nights,avg_spend_per_trip_sar,avg_spend_per_night_sar,source,source_id,source_url,data_period,snapshot_date,retrieved_at,is_live
2015,Al Bahah,Domestic,2083.4,17614.1,2240.0,8.45,1075.2,127.2,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2015,Al Bahah,Inbound,6.0,59.0,43.0,9.83,7166.7,728.8,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2015,Al Jawf,Domestic,927.9,3029.9,485.0,3.27,522.7,160.1,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2015,Al Jawf,Inbound,63.7,336.5,187.0,5.28,2935.6,555.7,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2015,Asir,Domestic,10183.2,73185.6,12964.0,7.19,1273.1,177.1,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2015,Asir,Inbound,118.2,1683.9,1006.0,14.25,8511.0,597.4,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2015,Eastern Province,Domestic,10570.2,48621.3,10500.0,4.6,993.4,216.0,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2015,Eastern Province,Inbound,8793.8,82738.3,31161.0,9.41,3543.5,376.6,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2015,Hail,Domestic,1344.0,8614.0,1189.0,6.41,884.7,138.0,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2015,Hail,Inbound,88.4,244.0,213.0,2.76,2409.5,873.0,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2015,Jazan,Domestic,4151.9,26942.0,4104.0,6.49,988.5,152.3,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2015,Jazan,Inbound,40.0,1563.0,416.0,39.08,10400.0,266.2,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2015,Madinah,Domestic,14721.8,59258.5,10210.0,4.03,693.5,172.3,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2015,Madinah,Inbound,615.8000000000001,9552.3,1686.0,15.51,2737.9,176.5,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2015,Makkah,Domestic,33129.9,169848.2,37696.0,5.13,1137.8,221.9,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2015,Makkah,Inbound,19724.7,266941.7,106795.0,13.53,5414.3,400.1,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2015,Najran,Domestic,864.2,5498.0,964.0,6.36,1115.5,175.3,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2015,Najran,Inbound,28.0,152.0,124.0,5.43,4428.6,815.8,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2015,Northern Borders,Domestic,798.0,2928.1,544.0,3.67,681.7,185.8,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2015,Northern Borders,Inbound,1780.7,2246.6,1734.0,1.26,973.8,771.8,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2015,Qassim,Domestic,1894.1,7394.2,1664.0,3.9,878.5,225.0,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2015,Qassim,Inbound,84.3,355.6,288.0,4.22,3416.4,809.9,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2015,Riyadh,Domestic,9906.4,49234.3,12316.0,4.97,1243.2,250.2,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2015,Riyadh,Inbound,4042.0,17278.1,19794.0,4.27,4897.1,1145.6,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
