id,place_name,is_restaurant,categories,average_rating,rate_count,granular_category,latitude,longitude
1,Shawarma Alaz,RESTAURANT,Sandwich|Fast Food|Shawarma,3,3,restaurants,24.6451181,46.7176402
2,Eben Ezar,RESTAURANT,Asian|Japanese,3.2,5,restaurants,24.6466308,46.7176585
3,Chowking,RESTAURANT,Noodles,4.5,305,restaurants,24.646194,46.717444
4,100 islands delights,RESTAURANT,Asian|Seafood,4.4,239,restaurants,24.6463337,46.7173288
5,CUSINA Cafe,RESTAURANT,Coffee,4.7,19,restaurants,24.6456276,46.71711
6,Jollibee,RESTAURANT,Fast Food|American,4.7,167,restaurants,24.64646655,46.71722455
7,Lapaz Batchoy,RESTAURANT,Grill|Asian|Seafood|Noodles,4.3,70,restaurants,24.646476,46.71719
8,Sushi Cutie,RESTAURANT,Asian,5,1,restaurants,24.6464123,46.7166802
9,Uncle Majid,RESTAURANT,Grill|Asian|Seafood|Noodles,4.5,19,restaurants,24.6469306,46.7168046
10,CUSINA,RESTAURANT,Grill|Seafood,3.9,7,restaurants,24.6463114,46.7166197
11,Sushi Cutie,RESTAURANT,Asian,1,1,restaurants,24.6463114,46.7166197
12,Soft Stream Sushi,RESTAURANT,Asian,5,3,restaurants,24.6463114,46.7166197
13,Manga Al Zaeem For Juices,RESTAURANT,Desserts|Beverages|Juices,3.8,113,restaurants,24.6379299,46.7205781
14,Classic Restaurant,RESTAURANT,Arabic|Indian,4.1,203,restaurants,24.64002322,46.71721662
15,Jareer Sweet,RESTAURANT,Desserts,4.5,37,restaurants,24.635669,46.71465
16,BANA,OTHER,Beauty &amp; Perfume,0,0,beauty,24.633701,46.7169456
17,Jasmine restaurant,RESTAURANT,Sandwich|Fast Food|American|Breakfast,3.8,32,restaurants,24.6307508,46.7172575
18,Delta pharmacy,OTHER,Pharmacy,4.7,148,pharmacies,24.660926,46.725106
19,Adam pharmacy,OTHER,Pharmacy,4.8,274,pharmacies,24.650239,46.706105
20,Al Rasheed Pastries,RESTAURANT,Desserts,4.5,35,restaurants,24.651384,46.706471
21,DNP,OTHER,Health &amp; Wellness,5,5,health_and_wellness,24.6618024,46.7294133
22,Knafet Al Bagajati,RESTAURANT,Desserts|Arabic|American,5,4,restaurants,24.6578829,46.7102456
23,Saadeddin pastry,RESTAURANT,Desserts|Arabic|Bakery|Ice Cream,4.4,322,restaurants,24.6578829,46.7102456
24,Mehamar w Meshmar,RESTAURANT,Sandwich|Arabic|Lebanese,3,2,restaurants,24.65801685,46.71026321
25,Alharfoosh,RESTAURANT,Fast Food|Arabic,0,0,restaurants,24.65801685,46.71026321
26,Rihanna Of the house,RESTAURANT,Arabic,3.6,7,restaurants,24.65801685,46.71026321
27,ANJAPPAR,RESTAURANT,Fast Food|Indian,4.3,361,restaurants,24.6619838,46.7295868
28,Furan Al Dayaa,RESTAURANT,Sandwich|Arabic|Bakery,4.5,1170,restaurants,24.662272,46.729495
29,Starbucks®,RESTAURANT,Desserts|Bakery|Beverages|Coffee|Breakfast|Roastery,4.4,413,restaurants,24.66256968,46.72981895
30,NG Beauty,OTHER,Beauty &amp; Perfume,0,0,beauty,24.6404235,46.7027962
31,Herfy,RESTAURANT,Sandwich|Fast Food|Burgers,4.3,559,restaurants,24.637908,46.703138
32,HungerStation Market,OTHER,Supermarkets,4.7,7679,darkstores,24.665707,46.728111
33,Bab Sharqi Coffee,RESTAURANT,Desserts|Beverages|Coffee|Juices,4.5,26,restaurants,24.644532,46.700351
34,Everyday Coffee Roastery,RESTAURANT,Desserts|Beverages|Coffee,4.4,1955,restaurants,24.6658529,46.7284382
35,Methaas Bakery &amp; Desserts,RESTAURANT,Fast Food|Desserts|Bakery|Indian,0,0,restaurants,24.6289679,46.7393167
36,Kudu,RESTAURANT,Sandwich|Fast Food|Grill|Burgers|Breakfast,4.2,377,restaurants,24.666438,46.724525
37,Alkhafeef,RESTAURANT,Grill|Arabic|Bakery,4.4,111,restaurants,24.66645625,46.7246701
38,Juice Time,RESTAURANT,Beverages|Juices,4.6,580,restaurants,24.665279,46.7314387
39,Maestro Pizza,RESTAURANT,Fast Food|Italian|International|Pizza,4.3,290,restaurants,24.66614,46.7308
40,Pinzatta,RESTAURANT,Sandwich|Fast Food|Italian|Healthy|Pizza,4.2,25,restaurants,24.66614135,46.7308491
41,Mad Pizza,RESTAURANT,Desserts|Italian|American|Beverages|International|Pizza,3.9,50,restaurants,24.6661706,46.7309242
42,Red Chilli,RESTAURANT,Grill|Seafood|Indian,4.5,233,restaurants,24.665103,46.710423
43,Red Cherry For Sweets,RESTAURANT,Desserts|Indian,4.6,218,restaurants,24.66536106,46.71036925
44,Hamburgini Burger,RESTAURANT,Sandwich|Burgers,4.1,1422,restaurants,24.668276,46.730204
45,Green Health,OTHER,Pharmacy,4.8,79,pharmacies,24.6574337,46.7008237
46,Eletna Restaurant,RESTAURANT,Sandwich|Beverages|Falafel,5,3,restaurants,24.6675753,46.7333194
47,Kaaket Falafel,RESTAURANT,Sandwich|Fast Food|Arabic|Egyptian|Falafel,3.6,5,restaurants,24.6675753,46.7333194
48,Mission Falafel - Riyadh,RESTAURANT,Sandwich|Arabic|Falafel|Breakfast,3.8,87,restaurants,24.66766105,46.73320251
49,Hashem,RESTAURANT,Sandwich|Fast Food|Arabic|Falafel,4.4,732,restaurants,24.667725,46.733273
50,SHALIMAR MUMTAZ RESTAURANT &amp; BAKERS,RESTAURANT,Indian,4.1,378,restaurants,24.6678035,46.7117402
51,Ponnusamy,RESTAURANT,Asian|Indian|Vegetarian|Noodles,4,181,restaurants,24.6635425,46.7044087
52,Al Karama Sweets,RESTAURANT,Desserts,4.1,32,restaurants,24.669576,46.731899
53,Al Mehbaj,RESTAURANT,Roastery,4.7,34,nuts_and_dried_fruits,24.66385214,46.70385649
54,Salman Sweets,RESTAURANT,Desserts|Indian|Pakistani,3.3,22,restaurants,24.6692098,46.712534
55,Al Mamlakah Sweets,RESTAURANT,Desserts|Pastries,4.7,41,restaurants,24.670622,46.730931
56,Mugo land,RESTAURANT,Roastery,4.7,50,specialty_and_ethnic,24.6437536,46.6933715
57,Wahat Al Aseer,RESTAURANT,Beverages|Juices,3,4,restaurants,24.6170456,46.7227435
58,Pizza Hut,RESTAURANT,Fast Food|Italian|Beverages|International|Pizza|Pasta|Salads,4.2,435,restaurants,24.6759146,46.7274594
59,Tim Horton,RESTAURANT,Fast Food|Coffee,4.2,162,restaurants,24.666095,46.697692
60,Wasfa Pharmacy,OTHER,Pharmacy,4.7,115,pharmacies,24.62024364,46.70183612
61,Baja,RESTAURANT,Beverages|Coffee|Roastery,4.7,168,restaurants,24.67701,46.727088
62,Cinnabon,RESTAURANT,Desserts|Beverages,4.2,310,restaurants,24.630152,46.691963
63,Golden Konafa,RESTAURANT,Desserts,4.6,27,restaurants,24.618341,46.745459
64,Ranosh,RESTAURANT,Sandwich|Coffee|Juices,4.7,72,restaurants,24.629651,46.691035
65,Sham sweets,RESTAURANT,Desserts,5,5,restaurants,24.6129625,46.710251
66,Mille Feuille,RESTAURANT,Sandwich|Pastries,4.2,84,restaurants,24.679129,46.729099
67,SETTE,RESTAURANT,Sandwich|Desserts|American,4.8,72,restaurants,24.6793517,46.71910372
68,Serrano,RESTAURANT,Arabic,1.8,4,restaurants,24.6793712,46.7190769
69,Sweets Corner,RESTAURANT,Desserts,4.5,35,restaurants,24.679418,46.719377
70,Asian Taste,RESTAURANT,Asian,4,37,restaurants,24.6793506,46.7305577
71,Meat Hub,RESTAURANT,Butchery &amp; Fishery,4.5,107,Butchery,24.677319,46.7080019
72,Tanur Alfatirat Aldimashqiya,RESTAURANT,Sandwich|Arabic|Pizza|Pastries,4.2,178,restaurants,24.6699126,46.7511926
73,Tolv,RESTAURANT,Sandwich|Desserts|Bakery|Breakfast,4.6,11,restaurants,24.6803565,46.7191064
74,Karam Hommus Restaruant,RESTAURANT,Grill|Arabic|Pizza|Pastries,3.5,16,restaurants,24.654253,46.744504
75,Falafel Arafah,RESTAURANT,Sandwich|Fast Food|Arabic,4.1,116,restaurants,24.65533,46.744013
76,Qasr Al Rukn Al Shami,RESTAURANT,Grill|Arabic|Breakfast|Pastries,4.5,17,restaurants,24.637439,46.701838
77,Pizza Corner,RESTAURANT,Fast Food|Beverages,4.6,85,restaurants,24.654863,46.744373
78,Anbar Al Sham,RESTAURANT,Arabic|Shawarma|Breakfast|Pastries,4.3,280,restaurants,24.654553,46.744566
79,Minha Multicuisine,RESTAURANT,Arabic,4.2,125,restaurants,24.6663537,46.7251639
80,Square house cafe -,RESTAURANT,Arabic|Coffee,5,1,restaurants,24.65811443,46.70503587
81,Mahboob,RESTAURANT,Sandwich|Beverages|Shawarma,4.4,453,restaurants,24.665218,46.731444
82,Pizza&amp; more,RESTAURANT,Arabic|Pizza,1.8,4,restaurants,24.65812257,46.70499147
83,Pastatti,RESTAURANT,Fast Food|Beverages|Pasta,4.7,15,restaurants,24.6652969,46.7314819
84,Minyaki,RESTAURANT,Asian|Noodles,4,148,restaurants,24.6286237,46.7390314
85,Royal Tandor,RESTAURANT,Grill|Asian|Indian,4.3,283,restaurants,24.6286237,46.7390314
86,Cheeso pizza,RESTAURANT,Italian|Juices|Pizza,3.2,4,restaurants,24.66528062,46.73157978
87,Zouq Maharaja,RESTAURANT,Grill|Asian|Arabic|Indian,4,237,restaurants,24.6287914,46.7394307
88,Madghout Raydan,RESTAURANT,Arabic,3.9,494,restaurants,24.637439,46.701205
89,Al Baik,RESTAURANT,Sandwich|Fast Food|Arabic,4.1,11646,restaurants,24.6290159,46.7399009
90,Cubano,RESTAURANT,Sandwich|Fast Food|Mexican|Healthy|Pasta,4.2,117,restaurants,24.628601,46.739527
91,Grill &amp; Rice Restaurant,RESTAURANT,Sandwich|Fast Food|Healthy|Pasta,4.3,1052,restaurants,24.628601,46.739527
92,Cone Zone,RESTAURANT,Desserts|Ice Cream,4.7,71,restaurants,24.665646,46.731484
93,Mac Coy's,RESTAURANT,Sandwich|Fast Food|Grill|Shawarma,4,811,restaurants,24.6658717,46.731114
94,Zaitoon,RESTAURANT,Asian|Indian,3.8,159,restaurants,24.66532323,46.71171414
95,Lorenzo Pizza,RESTAURANT,Sandwich|Fast Food|Italian|International|Pizza|Pasta|Salads,4.5,537,restaurants,24.6576106,46.7017866
96,Al Tazaj,RESTAURANT,Sandwich|Arabic|Beverages,4.4,517,restaurants,24.666225,46.711621
97,Food Corner,RESTAURANT,Grill|Indian,4.2,288,restaurants,24.6669023,46.7129918
98,Remarkable Chicken,RESTAURANT,Burgers,2.4,5,restaurants,24.6683535,46.7302751
99,Samar Qandi,RESTAURANT,Arabic,4.2,577,restaurants,24.6261949,46.740407
100,Baskin Robbins,RESTAURANT,Desserts|Beverages|Ice Cream,4.8,85,restaurants,24.6685609,46.7300365
