 DESTINATION, YEARS , Tourists Number (Overnight Visitors) (000) , Overnight Stay (000) , Tourists Spending (SAR Mn) , Average Length of Stay (Night) , Avergae Spending per Trip (SAR) , Average Spending per Night (SAR) 
Al Bahah Province,2015,"1,041","8,807","1,120",8.5,"1,075",127
Al Bahah Province,2016,"1,223","9,707","1,350",7.9,"1,104",139
Al Bahah Province,2017,"1,106","7,126","1,028",6.4,929,144
Al Bahah Province,2018,"1,235","8,864","1,380",7.2,"1,118",156
Al Bahah Province,2019,"1,462","11,016","1,666",7.5,"1,140",151
Al Bahah Province,2020,"1,532","11,590","1,545",7.6,"1,009",133
Al Bahah Province,2021,"1,100","8,743","1,411",7.9,"1,283",161
Al Bahah Province,2022,"1,021","6,623","1,000",6.5,980,151
Al Bahah Province,2023,"1,071","7,633","1,237",7.1,"1,155",162
Al Bahah Province,2024,"1,127","10,346","1,123",9.2,997,109
Al Bahah,2015,947,"7,909","1,016",8.4,"1,073",128
Al Bahah,2016,"1,148","9,125","1,269",8,"1,105",139
Al Bahah,2017,"1,035","6,729",968,6.5,935,144
Al Bahah,2018,"1,073","7,683","1,180",7.2,"1,100",154
Al Bahah,2019,"1,231","8,812","1,364",7.2,"1,109",155
Al Bahah,2020,"1,245","8,760","1,259",7,"1,011",144
Al Bahah,2021,532,"3,371",586,6.3,"1,102",174
Al Bahah,2022,784,"4,622",749,5.9,955,162
Al Bahah,2023,785,"5,907","1,003",7.5,"1,278",170
Al Bahah,2024,791,"7,108",844,9,"1,067",119
BILJURASHI,2015,33,269,39,8.3,"1,210",146
BILJURASHI,2016,27,276,35,10.4,"1,312",127
BILJURASHI,2017,33,122,21,3.7,646,175
BILJURASHI,2018,57,329,49,5.8,860,148
BILJURASHI,2019,114,892,123,7.8,"1,076",138
BILJURASHI,2020,131,"1,179",144,9,"1,099",122
BILJURASHI,2021,276,"2,354",402,8.5,"1,455",171
BILJURASHI,2022,100,744,107,7.4,"1,066",144
BILJURASHI,2023,122,629,101,5.2,828,160
BILJURASHI,2024,107,971,105,9.1,982,108
Other AlBaha,2015,62.4,629.1,65,10.1,"1,037",103
Other AlBaha,2016,49.3,307,47,6.2,950,152
Other AlBaha,2017,38,275,39,7.3,"1,029",141
Other AlBaha,2018,105,852,151,8.1,"1,438",178
Other AlBaha,2019,117,"1,311",179,11.2,"1,530",136
Other AlBaha,2020,156.1,"1,651",143,10.6,915,86
Other AlBaha,2021,293,"3,018",424,10.3,"1,448",140
Other AlBaha,2022,137,"1,256",144,9.2,"1,057",115
Other AlBaha,2023,165,"1,097",134,6.7,813,122
Other AlBaha,2024,229,"2,266",174,9.9,762,77
