  DESTINATION, YEARS , Tourists Number (Overnight Visitors) (000) , Overnight Stay (000) , Tourists Spending (SAR Mn) , Average Length of Stay (Night) , Avergae Spending per Trip (SAR) , Average Spending per Night (SAR) 
Al Bahah Province,2015,6,59,43,10.0,7029,727
Al Bahah Province,2016,1,2,0.4,3.0,720,240
Al Bahah Province,2017,0,0,0,0.0,0,0
Al Bahah Province,2018,4,71,47,17.0,11481,664
Al Bahah Province,2019,3,26,15,10.0,5732,572
Al Bahah Province,2020,2,12,8,7.0,4906,698
Al Bahah Province,2021,1,5,3,8.0,4416,576
Al Bahah Province,2022,4,41,9,10.0,2133,216
Al Bahah Province,2023,16,110,43,7.0,2664,393
Al Bahah Province,2024,8,54,22,7.0,2734,410
Al Bahah,2015,6,59,43,10.0,7029,727
Al Bahah,2016,1,2,0.4,3.0,720,240
Al Bahah,2017,0,0,0,0.0,0,0
Al Bahah,2018,4,71,47,17.0,11481,664
Al Bahah,2019,3,26,15,10.0,5732,572
Al Bahah,2020,1,11,8,8.0,6014,774
Al Bahah,2021,1,5,3,8.0,4747,595
Al Bahah,2022,4,41,9,10.0,2133,216
Al Bahah,2023,16,110,43,7.0,2664,393
Al Bahah,2024,8,54,22,7.0,2734,410
BILJURASHI,2015,0,0,0,0.0,0,0
BILJURASHI,2016,0,0,0,0.0,0,0
BILJURASHI,2017,0,0,0,0.0,0,0
BILJURASHI,2018,0,0,0,0.0,0,0
BILJURASHI,2019,0,0,0,0.0,0,0
BILJURASHI,2020,0,0,0,0.0,0,0
BILJURASHI,2021,0,0,0,0.0,0,0
BILJURASHI,2022,0,0,0,0.0,0,0
BILJURASHI,2023,0,0,0,0.0,0,0
BILJURASHI,2024,0,0,0,0.0,0,0
Other AlBaha,2015,0,0,0,0.0,0,0
Other AlBaha,2016,0,0,0,0.0,0,0
Other AlBaha,2017,0,0,0,0.0,0,0
Other AlBaha,2018,0,0,0,0.0,0,0
Other AlBaha,2019,0,0,0,0.0,0,0
Other AlBaha,2020,0,1,0.1,4.0,399,100
Other AlBaha,2021,0.1,0.2,0,4.0,425,106
Other AlBaha,2022,0,0,0,0.0,0,0
Other AlBaha,2023,0,0,0,0.0,0,0
Other AlBaha,2024,0,0,0,0.0,0,0
