 DESTINATION, YEARS , Tourists Number (Overnight Visitors) (000) , Overnight Stay (000) , Tourists Spending (SAR Mn) , Average Length of Stay (Night) , Avergae Spending per Trip (SAR) , Average Spending per Night (SAR) 
Alqassim Province,2015,947,"3,697",832,3.9,879,225
Alqassim Province,2016,734,"3,377",757,4.6,"1,032",224
Alqassim Province,2017,908,"3,967",763,4.4,840,192
Alqassim Province,2018,"1,072","6,246","1,299",5.8,"1,212",208
Alqassim Province,2019,"1,445","9,020","1,871",6.2,"1,295",207
Alqassim Province,2020,"2,038","11,335","1,818",5.6,892,160
Alqassim Province,2021,"3,768","22,722","3,877",6,"1,029",171
Alqassim Province,2022,"4,054","19,498","4,479",4.8,"1,105",230
Alqassim Province,2023,"4,565","27,272","5,654",6,"1,239",207
Alqassim Province,2024,"4,872","31,343","5,690",6.4,"1,168",182
Buraydah,2015,814,"3,170",745,3.9,915,235
Buraydah,2016,563,"2,584",622,4.6,"1,105",241
Buraydah,2017,648,"2,692",565,4.2,872,210
Buraydah,2018,745,"4,509",935,6.1,"1,254",207
Buraydah,2019,859,"5,211","1,235",6.1,"1,437",237
Buraydah,2020,935,"4,842",954,5.2,"1,020",197
Buraydah,2021,"1,547","8,122","1,677",5.3,"1,084",206
Buraydah,2022,"2,323","11,155","2,745",4.8,"1,182",246
Buraydah,2023,"3,415","20,399","4,212",6,"1,234",206
Buraydah,2024,"3,700","24,517","4,567",6.6,"1,234",186
Unayzah,2015,58,210,49,3.6,844,233
Unayzah,2016,96,486,82,5.1,856,169
Unayzah,2017,148,655,129,4.4,867,197
Unayzah,2018,154,736,175,4.8,"1,139",238
Unayzah,2019,313,"1,964",341,6.3,"1,089",174
Unayzah,2020,527,"2,914",446,5.5,847,153
Unayzah,2021,420,"2,448",351,5.8,835,143
Unayzah,2022,491,"2,180",503,4.4,"1,024",231
Unayzah,2023,595,"2,609",678,4.4,"1,140",260
Unayzah,2024,654,"3,398",624,5.2,954,184
Rass,2015,35,148.3,20,4.2,582,137
Rass,2016,40.2,143,28,3.6,684,192
Rass,2017,49,380,31,7.7,634,82
Rass,2018,57,397,49,6.9,858,124
Rass,2019,106,744,97,7,917,131
Rass,2020,181.4,"1,119",128,6.2,705,114
Rass,2021,431,"2,973",418,6.9,969,140
Rass,2022,382,"1,735",375,4.5,982,216
Rass,2023,177,"1,083",302,6.1,"1,712",279
Rass,2024,264,"1,580",265,6,"1,006",168
Other AlQassim,2015,40.1,168.9,18,4.2,453,107
Other AlQassim,2016,34.4,164,25,4.8,724,152
Other AlQassim,2017,63,240,38,3.8,609,160
Other AlQassim,2018,116,603,140,5.2,"1,210",232
Other AlQassim,2019,166,"1,101",197,6.6,"1,189",179
Other AlQassim,2020,394.2,"2,460",289,6.2,734,118
Other AlQassim,2021,"1,370","9,180","1,432",6.7,"1,045",156
Other AlQassim,2022,858,"4,428",856,5.2,998,193
Other AlQassim,2023,379,"3,182",462,8.4,"1,220",145
Other AlQassim,2024,255,"1,848",233,7.2,914,126
