 DESTINATION, YEARS , Tourists Number (Overnight Visitors) (000) , Overnight Stay (000) , Tourists Spending (SAR Mn) , Average Length of Stay (Night) , Avergae Spending per Trip (SAR) , Average Spending per Night (SAR) 
Alqassim Province,2015,42,178,144,4.2,"3,427",807
Alqassim Province,2016,34,114,89,3.4,"2,642",778
Alqassim Province,2017,68,215,179,3.2,"2,621",830
Alqassim Province,2018,75,244,190,3.2,"2,524",777
Alqassim Province,2019,110,437,406,4,"3,690",929
Alqassim Province,2020,39,250,122,6.5,"3,167",488
Alqassim Province,2021,56,405,239,7.2,"4,253",589
Alqassim Province,2022,202,"1,899",636,9.4,"3,153",335
Alqassim Province,2023,126,814,288,6.4,"2,284",354
Alqassim Province,2024,317,"18,848","1,765",59.4,"5,562",94
Buraydah,2015,16,79,63,5.1,"4,022",794
Buraydah,2016,19,63,48,3.3,"2,531",763
Buraydah,2017,21,70,64,3.4,"3,113",914
Buraydah,2018,22,76,58,3.5,"2,660",767
Buraydah,2019,29,95,85,3.3,"2,919",888
Buraydah,2020,25,209,88,8.5,"3,580",422
Buraydah,2021,46,371,216,8,"4,664",582
Buraydah,2022,101,806,279,7.9,"2,752",346
Buraydah,2023,86,589,191,6.9,"2,228",324
Buraydah,2024,261,"15,949","1,540",61,"5,889",97
Unayzah,2015,16,62,57,3.9,"3,537",907
Unayzah,2016,14,49,39,3.5,"2,811",793
Unayzah,2017,39,120,95,3,"2,410",792
Unayzah,2018,41,128,100,3.2,"2,470",782
Unayzah,2019,49,149,110,3,"2,253",741
Unayzah,2020,8,25,20,3,"2,401",812
Unayzah,2021,7,23,16,3.5,"2,380",678
Unayzah,2022,80,678,270,8.5,"3,376",398
Unayzah,2023,35,204,90,5.8,"2,583",442
Unayzah,2024,27,969,80,35.8,"2,972",83
Rass,2015,3,12.7,9,4.3,"2,970",693
Rass,2016,0.2,,,2,"2,092","1,046"
Rass,2017,1,3,3,3,"2,453",820
Rass,2018,2,6,5,3.1,"2,625",852
Rass,2019,16,144,175,9.1,"10,973","1,211"
Rass,2020,0.4,1,1,3,"3,038","1,017"
Rass,2021,1,4,3,3,"2,067",680
Rass,2022,15,366,73,24.3,"4,838",199
Rass,2023,4,13,5,3.5,"1,277",368
Rass,2024,12,783,55,66.6,"4,723",71
Other AlQassim,2015,7.3,23.9,15,3.3,"2,104",646
Other AlQassim,2016,0.6,2,2,2.8,"2,429",866
Other AlQassim,2017,7,22,17,3.1,"2,378",771
Other AlQassim,2018,11,34,26,3.2,"2,438",771
Other AlQassim,2019,16,49,37,3,"2,262",751
Other AlQassim,2020,4.9,14,12,2.9,"2,423",843
Other AlQassim,2021,2,6,4,3.7,"2,319",623
Other AlQassim,2022,5,50,15,9.2,"2,671",292
Other AlQassim,2023,2,8,2,4.2,"1,242",298
Other AlQassim,2024,17,"1,146",90,66.9,"5,250",78
