 DESTINATION, YEARS , Tourists Number (Overnight Visitors) (000) , Overnight Stay (000) , Tourists Spending (SAR Mn) , Average Length of Stay (Night) , Avergae Spending per Trip (SAR) , Average Spending per Night (SAR) 
Aseer Province,2015,"5,092","36,593","6,482",7.2,"1,273",177
Aseer Province,2016,"4,988","38,995","7,690",7.8,"1,542",197
Aseer Province,2017,"5,322","38,794","5,889",7.3,"1,106",152
Aseer Province,2018,"4,923","37,355","6,077",7.6,"1,235",163
Aseer Province,2019,"4,943","38,034","6,409",7.7,"1,296",169
Aseer Province,2020,"4,585","33,554","5,201",7.3,"1,134",155
Aseer Province,2021,"5,269","42,703","8,183",8.1,"1,553",192
Aseer Province,2022,"5,971","39,079","7,068",6.5,"1,184",181
Aseer Province,2023,"6,906","61,405","9,535",8.9,"1,381",155
Aseer Province,2024,"7,334","61,211","8,599",8.4,"1,172",140
Abha,2015,"3,426","27,804","4,602",8.1,"1,343",166
Abha,2016,"3,009","24,904","4,770",8.3,"1,585",192
Abha,2017,"3,392","25,196","3,846",7.4,"1,134",153
Abha,2018,"3,336","25,232","4,048",7.6,"1,214",160
Abha,2019,"3,087","22,993","4,302",7.5,"1,394",187
Abha,2020,"2,361","16,896","3,309",7.2,"1,401",196
Abha,2021,"1,978","14,722","3,568",7.4,"1,804",242
Abha,2022,"2,308","15,059","3,414",6.5,"1,479",227
Abha,2023,"2,723","21,211","3,896",7.8,"1,431",184
Abha,2024,"2,857","20,681","3,731",7.2,"1,306",180
Khamis Mushait,2015,406,"2,051",741,5.1,"1,825",361
Khamis Mushait,2016,363,"2,322",522,6.4,"1,438",225
Khamis Mushait,2017,386,"3,475",493,9,"1,277",142
Khamis Mushait,2018,410,"2,737",542,6.7,"1,323",198
Khamis Mushait,2019,590,"4,599",654,7.8,"1,109",142
Khamis Mushait,2020,789,"5,408",645,6.9,817,119
Khamis Mushait,2021,979,"7,811","1,615",8,"1,649",207
Khamis Mushait,2022,"1,179","8,142","1,329",6.9,"1,127",163
Khamis Mushait,2023,"1,442","14,121","2,193",9.8,"1,521",155
Khamis Mushait,2024,"1,467","13,687","1,806",9.3,"1,231",132
Other Aseer,2015,"1,259.20","6,737.60","1,139",5.4,905,169
Other Aseer,2016,"1,616.60","11,768","2,398",7.3,"1,484",204
Other Aseer,2017,"1,544","10,123","1,550",6.6,"1,004",153
Other Aseer,2018,"1,177","9,385","1,487",8,"1,263",158
Other Aseer,2019,"1,267","10,441","1,453",8.2,"1,147",139
Other Aseer,2020,"1,434.20","11,249","1,246",7.8,869,111
Other Aseer,2021,"2,311","20,170","3,000",8.7,"1,298",149
Other Aseer,2022,"2,484","15,878","2,325",6.4,936,146
Other Aseer,2023,"2,741","26,073","3,446",9.5,"1,257",132
Other Aseer,2024,"3,009","26,842","3,061",8.9,"1,017",114
