 DESTINATION, YEARS , Tourists Number (Overnight Visitors) (000) , Overnight Stay (000) , Tourists Spending (SAR Mn) , Average Length of Stay (Night) , Avergae Spending per Trip (SAR) , Average Spending per Night (SAR) 
Aseer Province,2015,59,842,503,14.2,"8,489",597
Aseer Province,2016,4,24,14,6.1,"3,675",600
Aseer Province,2017,1,7,4,8,"4,571",571
Aseer Province,2018,99,"2,703",362,27.4,"3,660",134
Aseer Province,2019,24,607,168,25.6,"7,070",277
Aseer Province,2020,15,143,43,9.8,"2,933",300
Aseer Province,2021,20,312,105,15.4,"5,193",338
Aseer Province,2022,74,"1,666",361,22.5,"4,869",216
Aseer Province,2023,187,"3,063",823,16.4,"4,404",269
Aseer Province,2024,158,"2,997",516,19,"3,273",172
Abha,2015,41,440,335,10.6,"8,083",761
Abha,2016,3,22,12,7.2,"3,990",556
Abha,2017,,,,,,
Abha,2018,72,"1,909",218,26.7,"3,050",114
Abha,2019,15,358,114,23.5,"7,480",318
Abha,2020,9,109,30,12,"3,333",277
Abha,2021,14,223,64,15.7,"4,476",285
Abha,2022,44,665,146,15.1,"3,333",220
Abha,2023,84,843,274,10,"3,253",324
Abha,2024,92,970,281,10.5,"3,037",289
Khamis Mushait,2015,8,118,37,15.5,"4,824",312
Khamis Mushait,2016,,,,3,"2,950",983
Khamis Mushait,2017,,,,,,
Khamis Mushait,2018,2,23,3,9.3,"1,428",154
Khamis Mushait,2019,,,,7.7,"3,035",393
Khamis Mushait,2020,,,,3,"1,900",633
Khamis Mushait,2021,4,65,37,15.2,"8,658",569
Khamis Mushait,2022,19,676,168,35.5,"8,832",249
Khamis Mushait,2023,29,559,154,19.1,"5,243",275
Khamis Mushait,2024,25,716,113,28.2,"4,457",158
Other Aseer,2015,10.2,283.9,131,27.9,"12,900",462
Other Aseer,2016,0.8,2,2,2.7,"2,621",969
Other Aseer,2017,1,7,4,8,"4,571",571
Other Aseer,2018,25,771,140,31.1,"5,640",181
Other Aseer,2019,8,248,54,29.3,"6,348",217
Other Aseer,2020,5.6,35,13,6.2,"2,291",371
Other Aseer,2021,2,24,5,13.2,"2,679",203
Other Aseer,2022,11,325,46,29.3,"4,150",142
Other Aseer,2023,74,"1,660",396,22.6,"5,385",238
Other Aseer,2024,40,"1,312",122,33,"3,067",93
