 DESTINATION, YEARS , Tourists Number (Overnight Visitors) (000) , Overnight Stay (000) , Tourists Spending (SAR Mn) , Average Length of Stay (Night) , Avergae Spending per Trip (SAR) , Average Spending per Night (SAR) 
Eastern Province,2015,"5,285","24,311","5,250",4.6,993,216
Eastern Province,2016,"3,851","18,280","4,636",4.8,"1,204",254
Eastern Province,2017,"3,567","20,131","3,794",5.6,"1,064",188
Eastern Province,2018,"4,093","23,744","4,830",5.8,"1,180",203
Eastern Province,2019,"4,514","25,155","6,218",5.6,"1,378",247
Eastern Province,2020,"4,284","20,863","4,374",4.9,"1,021",210
Eastern Province,2021,"9,273","49,840","14,639",5.4,"1,579",294
Eastern Province,2022,"11,139","47,441","12,683",4.3,"1,139",267
Eastern Province,2023,"13,457","82,944","16,792",6.2,"1,248",202
Eastern Province,2024,"13,644","81,591","16,422",6,"1,204",201
Al Ahsa,2015,374,"1,247",208,3.3,557,167
Al Ahsa,2016,276,"1,185",212,4.3,770,179
Al Ahsa,2017,246,"1,209",143,4.9,581,119
Al Ahsa,2018,286,"1,664",246,5.8,860,148
Al Ahsa,2019,384,"2,750",441,7.2,"1,146",160
Al Ahsa,2020,587,"4,288",544,7.3,927,127
Al Ahsa,2021,"2,335","17,489","5,243",7.5,"2,245",300
Al Ahsa,2022,"2,748","13,071","3,126",4.8,"1,138",239
Al Ahsa,2023,"2,899","17,960","3,143",6.2,"1,084",175
Al Ahsa,2024,"3,002","16,313","2,885",5.4,961,177
Al Khobar,2015,"1,101","4,545","1,104",4.1,"1,003",243
Al Khobar,2016,622,"2,884",765,4.6,"1,229",265
Al Khobar,2017,474,"3,773",554,8,"1,170",147
Al Khobar,2018,612,"4,167",718,6.8,"1,172",172
Al Khobar,2019,840,"4,003",983,4.8,"1,171",246
Al Khobar,2020,879,"3,325",719,3.8,818,216
Al Khobar,2021,"1,458","5,690","1,791",3.9,"1,228",315
Al Khobar,2022,"1,485","5,042","1,670",3.4,"1,125",331
Al Khobar,2023,"1,693","7,418","2,038",4.4,"1,204",275
Al Khobar,2024,"1,955","8,267","2,235",4.2,"1,143",270
Dammam,2015,"3,252","16,049","3,374",4.9,"1,037",210
Dammam,2016,"2,559","12,398","3,275",4.8,"1,280",264
Dammam,2017,"2,387","12,425","2,689",5.2,"1,127",216
Dammam,2018,"2,558","13,735","2,920",5.4,"1,141",213
Dammam,2019,"2,571","13,796","3,672",5.4,"1,428",266
Dammam,2020,"1,937","8,419","2,188",4.4,"1,130",260
Dammam,2021,"2,388","9,303","3,360",3.9,"1,407",361
Dammam,2022,"3,212","12,865","3,999",4,"1,245",311
Dammam,2023,"4,392","25,443","6,267",5.8,"1,427",246
Dammam,2024,"4,550","28,878","6,547",6.4,"1,439",227
Other Eastern,2015,558.2,"2,469.30",564,4.4,"1,010",228
Other Eastern,2016,394,"1,812",385,4.6,976,212
Other Eastern,2017,459,"2,725",407,5.9,885,149
Other Eastern,2018,636,"4,178",947,6.6,"1,488",227
Other Eastern,2019,718,"4,607","1,122",6.4,"1,563",244
Other Eastern,2020,882.1,"4,831",923,5.5,"1,046",191
Other Eastern,2021,"3,091","17,359","4,245",5.6,"1,373",245
Other Eastern,2022,"3,695","16,464","3,888",4.5,"1,052",236
Other Eastern,2023,"4,473","32,123","5,344",7.2,"1,195",166
Other Eastern,2024,"4,138","28,134","4,755",6.8,"1,149",169
