 DESTINATION, YEARS , Tourists Number (Overnight Visitors) (000) , Overnight Stay (000) , Tourists Spending (SAR Mn) , Average Length of Stay (Night) , Avergae Spending per Trip (SAR) , Average Spending per Night (SAR) 
Eastern Province,2015,"4,397","41,369","15,580",9.4,"3,543",377
Eastern Province,2016,"3,930","15,342","8,980",3.9,"2,285",585
Eastern Province,2017,"3,002","9,013","7,539",3,"2,511",836
Eastern Province,2018,"2,599","8,062","7,158",3.1,"2,754",888
Eastern Province,2019,"2,900","11,190","9,537",3.9,"3,289",852
Eastern Province,2020,921,"4,210","2,744",4.6,"2,981",652
Eastern Province,2021,"1,188","6,315","2,906",5.3,"2,447",460
Eastern Province,2022,"3,998","22,678","9,160",5.7,"2,291",404
Eastern Province,2023,"5,667","26,769","11,037",4.7,"1,948",412
Eastern Province,2024,"4,998","26,689","8,666",5.3,"1,734",325
Al Ahsa,2015,"1,004","8,563","3,783",8.5,"3,768",442
Al Ahsa,2016,648,"1,894","1,448",2.9,"2,235",764
Al Ahsa,2017,356,930,605,2.6,"1,699",651
Al Ahsa,2018,284,794,389,2.8,"1,372",491
Al Ahsa,2019,314,909,455,2.9,"1,450",501
Al Ahsa,2020,103,363,157,3.5,"1,529",432
Al Ahsa,2021,160,491,158,3.1,987,323
Al Ahsa,2022,770,"2,888",901,3.8,"1,171",312
Al Ahsa,2023,"1,172","3,722","1,368",3.2,"1,167",367
Al Ahsa,2024,"1,033","2,716","1,347",2.6,"1,304",496
Al Khobar,2015,772,"9,400","3,416",12.2,"4,424",363
Al Khobar,2016,528,"3,402","1,107",6.5,"2,099",326
Al Khobar,2017,236,604,402,2.6,"1,704",666
Al Khobar,2018,183,469,275,2.6,"1,502",587
Al Khobar,2019,308,"1,501",727,4.9,"2,361",485
Al Khobar,2020,201,"1,187",590,5.9,"2,939",497
Al Khobar,2021,321,"1,941",790,6,"2,460",407
Al Khobar,2022,"1,150","12,066","5,372",10.5,"4,669",445
Al Khobar,2023,"1,470","10,942","4,864",7.4,"3,308",445
Al Khobar,2024,"1,270","10,570","3,464",8.3,"2,727",328
Dammam,2015,"1,681","20,697","6,774",12.3,"4,030",327
Dammam,2016,"1,788","7,407","4,883",4.1,"2,731",659
Dammam,2017,"1,699","5,686","5,451",3.4,"3,209",959
Dammam,2018,"1,516","5,217","5,708",3.4,"3,765","1,094"
Dammam,2019,"1,618","6,945","7,477",4.3,"4,622","1,077"
Dammam,2020,398,"1,907","1,602",4.8,"4,026",840
Dammam,2021,412,"2,596","1,417",6.3,"3,440",546
Dammam,2022,"1,100","4,776","1,783",4.3,"1,620",373
Dammam,2023,"1,474","6,951","3,034",4.7,"2,058",437
Dammam,2024,"1,301","8,205","2,362",6.3,"1,815",288
Other Eastern,2015,939.8,"2,709.30","1,608",2.9,"1,711",593
Other Eastern,2016,967.2,"2,641","1,542",2.7,"1,595",584
Other Eastern,2017,711,"1,792","1,080",2.5,"1,518",602
Other Eastern,2018,616,"1,581",785,2.6,"1,276",497
Other Eastern,2019,660,"1,836",878,2.8,"1,329",478
Other Eastern,2020,219.2,753,395,3.4,"1,802",524
Other Eastern,2021,294,"1,288",541,4.4,"1,838",420
Other Eastern,2022,978,"2,949","1,104",3,"1,129",374
Other Eastern,2023,"1,551","5,154","1,771",3.3,"1,142",344
Other Eastern,2024,"1,393","5,198","1,493",3.7,"1,072",287
