 DESTINATION, YEARS , Tourists Number (Overnight Visitors) (000) , Overnight Stay (000) , Tourists Spending (SAR Mn) , Average Length of Stay (Night) , Avergae Spending per Trip (SAR) , Average Spending per Night (SAR) 
Hail Province,2015,672,"4,307",595,6.4,885,138
Hail Province,2016,455,"2,584",433,5.7,952,168
Hail Province,2017,465,"2,484",388,5.3,835,156
Hail Province,2018,791,"4,671",782,5.9,989,167
Hail Province,2019,973,"6,536","1,020",6.7,"1,048",156
Hail Province,2020,"1,160","7,770","1,050",6.7,905,135
Hail Province,2021,"1,850","12,938","2,668",7,"1,442",206
Hail Province,2022,"2,149","13,786","4,008",6.4,"1,865",291
Hail Province,2023,"1,836","12,808","2,780",7,"1,514",217
Hail Province,2024,"1,841","13,792","2,550",7.5,"1,385",185
Hail,2015,632,"4,181",572,6.6,906,137
Hail,2016,447,"2,569",432,5.7,966,168
Hail,2017,435,"2,419",378,5.6,869,156
Hail,2018,664,"4,163",714,6.3,"1,076",172
Hail,2019,831,"5,770",928,6.9,"1,116",161
Hail,2020,944,"6,447",885,6.8,937,137
Hail,2021,"1,231","9,165","1,991",7.5,"1,617",217
Hail,2022,"1,814","12,179","3,713",6.7,"2,047",305
Hail,2023,"1,677","10,958","2,665",6.5,"1,589",243
Hail,2024,"1,798","13,233","2,512",7.4,"1,397",190
Other Hail,2015,40,126,22,3.1,557,177
Other Hail,2016,8,15,1,2,171,86
Other Hail,2017,30,65,10,2.2,329,150
Other Hail,2018,127,507,68,4,533,133
Other Hail,2019,142,766,92,5.4,648,120
Other Hail,2020,216,"1,323",165,6.1,761,125
Other Hail,2021,619,"3,773",677,6.1,"1,094",179
Other Hail,2022,335,"1,608",295,4.8,880,183
Other Hail,2023,159,"1,851",115,11.7,727,62
Other Hail,2024,43,560,38,13.1,878,67
