 DESTINATION, YEARS , Tourists Number (Overnight Visitors) (000) , Overnight Stay (000) , Tourists Spending (SAR Mn) , Average Length of Stay (Night) , Avergae Spending per Trip (SAR) , Average Spending per Night (SAR) 
Hail Province,2015,44,122,107,2.8,"2,426",871
Hail Province,2016,17,82,33,4.9,"1,945",399
Hail Province,2017,11,43,30,4,"2,870",711
Hail Province,2018,13,62,43,4.8,"3,276",689
Hail Province,2019,15,45,37,3.1,"2,557",828
Hail Province,2020,10,205,42,20.5,"4,160",203
Hail Province,2021,90,"2,854",355,31.5,"3,927",124
Hail Province,2022,136,"5,741",378,42.3,"2,786",66
Hail Province,2023,358,"17,610","2,273",49.2,"6,353",129
Hail Province,2024,326,"18,860","1,359",57.8,"4,167",72
Hail,2015,44,121,104,2.8,"2,394",860
Hail,2016,16,80,32,4.9,"2,003",405
Hail,2017,11,43,30,4,"2,870",711
Hail,2018,13,62,43,4.8,"3,276",689
Hail,2019,15,45,37,3.1,"2,557",828
Hail,2020,10,205,42,20.5,"4,160",203
Hail,2021,90,"2,854",355,31.5,"3,927",124
Hail,2022,136,"5,741",378,42.3,"2,786",66
Hail,2023,358,"17,610","2,273",49.2,"6,353",129
Hail,2024,326,"18,860","1,359",57.8,"4,167",72
Other Hail,2015,0.4,1,2,3,"5,961","1,987"
Other Hail,2016,1,2,,3,338,113
