 DESTINATION, YEARS , Tourists Number (Overnight Visitors) (000) , Overnight Stay (000) , Tourists Spending (SAR Mn) , Average Length of Stay (Night) , Avergae Spending per Trip (SAR) , Average Spending per Night (SAR) 
Jazan Province,2015,"2,076","13,471","2,052",6.5,989,152
Jazan Province,2016,"2,352","15,253","3,389",6.5,"1,441",222
Jazan Province,2017,"1,885","12,919","2,380",6.9,"1,262",184
Jazan Province,2018,"2,238","14,540","2,598",6.5,"1,161",179
Jazan Province,2019,"2,352","15,724","2,890",6.7,"1,229",184
Jazan Province,2020,"2,053","12,820","1,639",6.2,798,128
Jazan Province,2021,"3,278","25,875","3,773",7.9,"1,151",146
Jazan Province,2022,"2,488","13,021","2,339",5.2,940,180
Jazan Province,2023,"2,923","19,679","3,716",6.7,"1,271",189
Jazan Province,2024,"2,936","16,840","2,858",5.7,973,170
Jazan,2015,"1,794","11,057","1,764",6.2,984,160
Jazan,2016,"2,028","12,995","3,000",6.4,"1,479",231
Jazan,2017,"1,508","9,850","2,009",6.5,"1,332",204
Jazan,2018,"1,724","11,202","1,986",6.5,"1,152",177
Jazan,2019,"1,635","10,846","2,014",6.6,"1,231",186
Jazan,2020,"1,084","7,169","1,049",6.6,968,146
Jazan,2021,821,"5,235",975,6.4,"1,187",186
Jazan,2022,"1,134","5,761","1,101",5.1,971,191
Jazan,2023,"1,160","6,219","1,346",5.4,"1,161",216
Jazan,2024,"1,048","5,896","1,233",5.6,"1,176",209
Other Jazan,2015,281.9,"2,414",288,8.6,"1,022",119
Other Jazan,2016,324,"2,258",388,7,"1,198",172
Other Jazan,2017,377,"3,070",371,8,984,121
Other Jazan,2018,515,"3,339",611,6,"1,188",183
Other Jazan,2019,716,"4,878",876,7,"1,223",180
Other Jazan,2020,970,"5,651",590,6,608,104
Other Jazan,2021,"2,457","20,641","2,798",8,"1,139",136
Other Jazan,2022,"1,354","7,260","1,238",5,915,171
Other Jazan,2023,"1,763","13,461","2,370",8,"1,344",176
Other Jazan,2024,"1,888","10,944","1,625",6,861,149
