 DESTINATION, YEARS , Tourists Number (Overnight Visitors) (000) , Overnight Stay (000) , Tourists Spending (SAR Mn) , Average Length of Stay (Night) , Avergae Spending per Trip (SAR) , Average Spending per Night (SAR) 
Jazan Province,2015,20,782,208,38.8,"10,348",267
Jazan Province,2016,,1,1,3,"3,968","1,323"
Jazan Province,2017,6,21,19,3.4,"3,032",891
Jazan Province,2018,13,319,90,25.1,"7,130",284
Jazan Province,2019,16,539,59,33.6,"3,689",110
Jazan Province,2020,9,138,28,16.2,"3,262",202
Jazan Province,2021,5,142,30,30.3,"6,482",214
Jazan Province,2022,35,"2,090",175,58.9,"4,928",84
Jazan Province,2023,15,120,46,8.1,"3,097",383
Jazan Province,2024,13,553,53,41.5,"4,007",97
Jazan,2015,10,359,109,36.8,"11,195",304
Jazan,2016,,,,3,"2,775",925
Jazan,2018,4,138,56,32,"13,051",408
Jazan,2019,6,339,37,59.4,"6,406",108
Jazan,2020,1,31,9,22.4,"6,493",289
Jazan,2021,1,43,10,31.2,"7,679",246
Jazan,2022,15,922,100,62.8,"6,824",109
Jazan,2023,7,59,26,8.3,"3,579",434
Jazan,2024,13,552,53,42.2,"4,078",97
Other Jazan,2015,10,422,99,40.7,"9,552",235
Other Jazan,2016,0.1,,1,3,"4,840","1,613"
Other Jazan,2017,6,21,19,3.4,"3,032",891
Other Jazan,2018,8,181,34,22,"4,080",189
Other Jazan,2019,10,200,23,19,"2,188",113
Other Jazan,2020,7,107,19,15,"2,636",176
Other Jazan,2021,3,99,20,30,"5,988",200
Other Jazan,2022,21,"1,168",75,56,"3,590",64
Other Jazan,2023,8,61,20,8,"2,649",334
Other Jazan,2024,,1,,3,438,146
