 DESTINATION, YEARS , Tourists Number (Overnight Visitors) (000) , Overnight Stay (000) , Tourists Spending (SAR Mn) , Average Length of Stay (Night) , Avergae Spending per Trip (SAR) , Average Spending per Night (SAR) 
Jouf Province,2015,464,"1,515",242,3.3,523,160
Jouf Province,2016,326,"1,305",214,4,658,164
Jouf Province,2017,284,"1,626",248,5.7,873,153
Jouf Province,2018,393,"2,540",641,6.5,"1,629",252
Jouf Province,2019,524,"3,291",944,6.3,"1,801",287
Jouf Province,2020,779,"3,818","1,010",4.9,"1,298",265
Jouf Province,2021,848,"4,347","1,619",5.1,"1,908",372
Jouf Province,2022,"1,253","5,941","2,621",4.7,"2,092",441
Jouf Province,2023,"1,139","8,625","1,683",7.6,"1,478",195
Jouf Province,2024,"1,159","9,587","1,571",8.3,"1,355",164
Al Qurayyat,2015,57,197,29,3.5,513,148
Al Qurayyat,2016,106,265,54,2.5,514,206
Al Qurayyat,2017,86,358,65,4.2,760,183
Al Qurayyat,2018,126,"1,013",279,8,"2,215",276
Al Qurayyat,2019,162,"1,314",343,8.1,"2,119",261
Al Qurayyat,2020,216,"1,332",315,6.2,"1,459",237
Al Qurayyat,2021,220,"1,055",507,4.8,"2,309",481
Al Qurayyat,2022,265,"1,404",829,5.3,"3,123",590
Al Qurayyat,2023,338,"3,274",423,9.7,"1,250",129
Al Qurayyat,2024,351,"3,524",468,10.1,"1,333",133
Sakaka,2015,382.9,"1,241.40",187,3.2,488,151
Sakaka,2016,213.7,"1,028",154,4.8,722,150
Sakaka,2017,170,"1,197",160,7,938,133
Sakaka,2018,249,"1,453",344,5.8,"1,378",236
Sakaka,2019,325,"1,827",546,5.6,"1,680",299
Sakaka,2020,513,"2,296",632,4.5,"1,232",275
Sakaka,2021,578,"3,039","1,014",5.3,"1,756",334
Sakaka,2022,916,"4,223","1,708",4.6,"1,865",405
Sakaka,2023,709,"4,756","1,136",6.7,"1,602",239
Sakaka,2024,717,"4,955",964,6.9,"1,344",195
Other Jouf,2015,24,76.5,27,3.2,"1,107",347
Other Jouf,2016,6,12,5,2.1,905,434
Other Jouf,2017,28,72,23,2.5,826,325
Other Jouf,2018,18,73,18,4.1,"1,002",242
Other Jouf,2019,37,151,55,4,"1,473",366
Other Jouf,2020,49.4,190,63,3.9,"1,271",331
Other Jouf,2021,51,254,97,5,"1,906",383
Other Jouf,2022,71,314,83,4.4,"1,171",265
Other Jouf,2023,91,594,124,6.5,"1,356",208
Other Jouf,2024,92,"1,109",140,12.1,"1,526",126
