 DESTINATION, YEARS , Tourists Number (Overnight Visitors) (000) , Overnight Stay (000) , Tourists Spending (SAR Mn) , Average Length of Stay (Night) , Avergae Spending per Trip (SAR) , Average Spending per Night (SAR) 
Jouf Province,2015,32,168,93,5.3,"2,917",554
Jouf Province,2016,47,409,196,8.7,"4,171",479
Jouf Province,2017,54,348,238,6.5,"4,408",684
Jouf Province,2018,58,413,242,7.1,"4,178",585
Jouf Province,2019,43,152,136,3.5,"3,144",896
Jouf Province,2020,18,115,83,6.3,"4,557",720
Jouf Province,2021,18,84,73,4.7,"4,113",871
Jouf Province,2022,52,887,171,16.9,"3,259",193
Jouf Province,2023,197,"2,343",438,11.9,"2,224",187
Jouf Province,2024,331,"4,461",768,13.5,"2,320",172
Al Qurayyat,2015,6,26,17,4.1,"2,705",653
Al Qurayyat,2016,23,220,97,9.8,"4,277",438
Al Qurayyat,2017,30,204,133,6.9,"4,492",654
Al Qurayyat,2018,31,244,141,7.8,"4,489",577
Al Qurayyat,2019,10,52,40,5.1,"3,965",781
Al Qurayyat,2020,9,80,50,9.1,"5,654",625
Al Qurayyat,2021,4,50,28,11.4,"6,480",568
Al Qurayyat,2022,28,689,117,24.5,"4,172",170
Al Qurayyat,2023,110,"1,488",255,13.6,"2,324",171
Al Qurayyat,2024,181,"1,571",327,8.7,"1,802",208
Sakaka,2015,25.6,142.1,76,5.5,"2,957",533
Sakaka,2016,24.2,188,99,7.8,"4,078",526
Sakaka,2017,23,142,101,6.1,"4,361",715
Sakaka,2018,26,167,100,6.5,"3,893",596
Sakaka,2019,32,99,94,3.1,"2,908",953
Sakaka,2020,9,32,31,3.5,"3,443",979
Sakaka,2021,13,29,41,2.3,"3,213","1,395"
Sakaka,2022,23,154,47,6.6,"2,002",305
Sakaka,2023,80,801,171,10,"2,131",214
Sakaka,2024,140,"2,797",425,20,"3,032",152
Other Jouf,2015,0.1,0.4,1,4,"5,568","1,392"
Other Jouf,2016,0.2,1,1,4,"3,383",846
Other Jouf,2017,1,2,3,2.3,"3,095","1,365"
Other Jouf,2018,1,2,1,2.2,"1,544",698
Other Jouf,2019,1,2,2,1.9,"2,247","1,159"
Other Jouf,2020,0.2,3,1,11.9,"6,006",503
Other Jouf,2021,1,5,4,7.3,"5,853",807
Other Jouf,2022,1,43,7,49.5,"7,640",154
Other Jouf,2023,7,54,12,8,"1,715",214
Other Jouf,2024,10,92,16,9.7,"1,728",178
