 DESTINATION, YEARS , Tourists Number (Overnight Visitors) (000) , Overnight Stay (000) , Tourists Spending (SAR Mn) , Average Length of Stay (Night) , Avergae Spending per Trip (SAR) , Average Spending per Night (SAR) 
Madinah Province,2015,"7,361","29,629","5,105",4,694,172
Madinah Province,2016,"7,879","31,190","5,472",4,695,175
Madinah Province,2017,"7,236","29,655","5,200",4.1,719,175
Madinah Province,2018,"6,552","27,591","5,329",4.2,813,193
Madinah Province,2019,"7,243","29,797","5,897",4.1,814,198
Madinah Province,2020,"5,611","22,054","4,396",3.9,783,199
Madinah Province,2021,"4,365","18,415","5,717",4.2,"1,310",310
Madinah Province,2022,"6,221","24,481","7,572",3.9,"1,217",309
Madinah Province,2023,"6,003","27,438","6,265",4.6,"1,044",228
Madinah Province,2024,"6,721","34,644","7,475",5.2,"1,112",216
Al Ula,2015,105,488,72,4.7,687,148
Al Ula,2016,164,632,69,3.9,421,109
Al Ula,2017,85,653,53,7.7,624,81
Al Ula,2018,118,622,76,5.3,648,123
Al Ula,2019,151,779,211,5.2,"1,393",270
Al Ula,2020,317,"1,623",389,5.1,"1,225",240
Al Ula,2021,251,"1,065",571,4.2,"2,275",536
Al Ula,2022,279,"1,075",594,3.9,"2,128",552
Al Ula,2023,372,"1,713",517,4.6,"1,387",302
Al Ula,2024,456,"1,913",766,4.2,"1,680",400
Madinah,2015,"5,712.70","24,633.90","3,963",4.3,694,161
Madinah,2016,"6,116.50","26,382","4,560",4.3,746,173
Madinah,2017,"5,450","22,585","4,039",4.1,741,179
Madinah,2018,"5,030","21,679","4,188",4.3,833,193
Madinah,2019,"5,303","22,531","4,429",4.2,835,197
Madinah,2020,"3,301.20","14,122","2,937",4.3,890,208
Madinah,2021,"3,055","13,018","3,990",4.3,"1,306",307
Madinah,2022,"4,737","18,340","5,762",3.9,"1,216",314
Madinah,2023,"4,527","18,842","4,570",4.2,"1,009",243
Madinah,2024,"5,101","24,188","5,245",4.7,"1,028",217
Yanbu,2015,"1,464.00","4,101.20","1,021",2.8,697,249
Yanbu,2016,"1,537.50","3,981",821,2.6,534,206
Yanbu,2017,"1,635","6,032","1,051",3.7,643,174
Yanbu,2018,"1,344","4,898",967,3.6,720,197
Yanbu,2019,"1,696","5,913","1,158",3.5,683,196
Yanbu,2020,"1,854.00","5,600",993,3,535,177
Yanbu,2021,766,"2,407",825,3.1,"1,076",343
Yanbu,2022,712,"2,567",846,3.6,"1,188",329
Yanbu,2023,833,"4,124",908,5,"1,090",220
Yanbu,2024,954,"6,470","1,090",6.8,"1,142",168
Other Madinah,2015,79.1,406.4,49,5.1,621,121
Other Madinah,2016,61.3,195,22,3.2,351,110
Other Madinah,2017,66,385,56,5.8,844,145
Other Madinah,2018,60,392,97,6.5,"1,610",248
Other Madinah,2019,94,573,100,6.1,"1,065",174
Other Madinah,2020,138.1,710,77,5.1,561,109
Other Madinah,2021,292,"1,924",331,6.6,"1,132",172
Other Madinah,2022,493,"2,499",371,5.1,752,148
Other Madinah,2023,271,"2,759",271,10.2,"1,001",98
Other Madinah,2024,210,"2,073",374,9.9,"1,783",181
