 DESTINATION, YEARS , Tourists Number (Overnight Visitors) (000) , Overnight Stay (000) , Tourists Spending (SAR Mn) , Average Length of Stay (Night) , Avergae Spending per Trip (SAR) , Average Spending per Night (SAR) 
Madinah Province,2015,308,"4,776",843,15.5,"2,737",176
Madinah Province,2016,324,"6,541","1,229",20.2,"3,800",188
Madinah Province,2017,63,452,396,7.1,"6,264",877
Madinah Province,2018,49,"1,101",599,22.6,"12,319",544
Madinah Province,2019,56,508,234,9.1,"4,205",460
Madinah Province,2020,12,80,46,6.9,"3,966",573
Madinah Province,2021,19,253,72,13,"3,732",286
Madinah Province,2022,121,"2,484",662,20.6,"5,477",266
Madinah Province,2023,321,"4,667","1,337",14.5,"4,166",287
Madinah Province,2024,439,"7,860","1,842",17.9,"4,199",234
Al Ula,2015,2,9,12,4.5,"5,885","1,298"
Al Ula,2016,,7,2,33,"8,029",243
Al Ula,2017,2,6,5,3,"2,642",881
Al Ula,2018,3,10,9,2.9,"2,641",899
Al Ula,2019,7,24,22,3.5,"3,211",921
Al Ula,2020,4,16,19,4.6,"5,348","1,165"
Al Ula,2021,7,71,29,9.9,"4,080",411
Al Ula,2022,50,667,334,13.3,"6,651",501
Al Ula,2023,113,"1,027",463,9.1,"4,112",451
Al Ula,2024,207,"2,224","1,033",10.7,"4,988",465
Madinah,2015,299.6,"4,686.80",801,15.6,"2,672",171
Madinah,2016,319.6,"6,490","1,209",20.3,"3,782",186
Madinah,2017,59,437,384,7.4,"6,485",879
Madinah,2018,33,243,124,7.3,"3,745",511
Madinah,2019,46,436,189,9.6,"4,149",434
Madinah,2020,7.5,62,26,8.3,"3,429",411
Madinah,2021,12,178,42,15.1,"3,527",234
Madinah,2022,69,"1,802",321,25.9,"4,623",178
Madinah,2023,186,"3,516",824,18.9,"4,431",234
Madinah,2024,175,"3,377",589,19.3,"3,358",174
Yanbu,2015,5.7,72.5,28,12.7,"4,891",384
Yanbu,2016,3.5,43,19,12.2,"5,287",434
Yanbu,2017,2,8,6,4.8,"3,637",755
Yanbu,2018,12,848,465,71,"39,009",549
Yanbu,2019,2,46,21,19.2,"8,749",456
Yanbu,2020,0.5,2,1,3.2,"2,606",824
Yanbu,2021,,3,1,12.9,"4,316",334
Yanbu,2022,1,9,5,16.5,"9,552",578
Yanbu,2023,21,119,48,5.7,"2,291",400
Yanbu,2024,56,"2,259",220,40.3,"3,928",97
Other Madinah,2015,0.5,8,2,15.5,"4,197",271
Other Madinah,2016,0.2,,,3,"1,400",467
Other Madinah,2017,,1,1,3,"2,546",859
Other Madinah,2018,,1,1,3,"2,713",904
Other Madinah,2019,1,2,2,2.9,"2,138",746
Other Madinah,2020,0.1,,,3.6,"2,368",660
Other Madinah,2021,,1,,3.4,"2,356",698
Other Madinah,2022,1,6,2,9.2,"2,517",274
Other Madinah,2023,2,5,2,2.9,"1,505",510
Other Madinah,2024,,1,,4.3,733,173
