 DESTINATION, YEARS , Tourists Number (Overnight Visitors) (000) , Overnight Stay (000) , Tourists Spending (SAR Mn) , Average Length of Stay (Night) , Avergae Spending per Trip (SAR) , Average Spending per Night (SAR) 
Makkah Province,2015,"16,565","84,924","18,848",5.1,"1,138",222
Makkah Province,2016,"16,807","79,029","21,954",4.7,"1,306",278
Makkah Province,2017,"16,911","73,599","19,624",4.4,"1,160",267
Makkah Province,2018,"15,522","67,817","16,741",4.4,"1,079",247
Makkah Province,2019,"16,017","77,267","19,954",4.8,"1,246",258
Makkah Province,2020,"9,878","50,333","10,433",5.1,"1,056",207
Makkah Province,2021,"18,476","85,256","31,003",4.6,"1,678",364
Makkah Province,2022,"22,663","99,556","30,647",4.4,"1,352",308
Makkah Province,2023,"22,625","113,134","29,941",5,"1,323",265
Makkah Province,2024,"23,487","130,615","30,657",5.6,"1,305",235
Jeddah,2015,"6,823","41,378","9,288",6.1,"1,361",224
Jeddah,2016,"7,031","37,357","10,838",5.3,"1,541",290
Jeddah,2017,"7,218","35,076","9,697",4.9,"1,344",276
Jeddah,2018,"6,256","30,622","7,804",4.9,"1,247",255
Jeddah,2019,"6,006","33,222","8,472",5.5,"1,411",255
Jeddah,2020,"3,951","22,596","5,145",5.7,"1,302",228
Jeddah,2021,"7,418","37,401","16,292",5,"2,196",436
Jeddah,2022,"8,263","42,353","15,606",5.1,"1,889",368
Jeddah,2023,"9,532","47,782","13,982",5,"1,467",293
Jeddah,2024,"9,243","56,910","14,304",6.2,"1,548",251
Makkah,2015,"7,144.80","29,242.00","6,968",4.1,975,238
Makkah,2016,"6,780.10","26,221","8,339",3.9,"1,230",318
Makkah,2017,"6,920","25,963","7,719",3.8,"1,116",297
Makkah,2018,"6,611","25,753","6,962",3.9,"1,053",270
Makkah,2019,"7,058","28,733","9,082",4.1,"1,287",316
Makkah,2020,"3,575.00","13,362","3,329",3.7,931,249
Makkah,2021,"5,612","21,092","9,103",3.8,"1,622",432
Makkah,2022,"8,177","27,859","9,642",3.4,"1,179",346
Makkah,2023,"7,390","31,254","10,500",4.2,"1,421",336
Makkah,2024,"8,349","35,442","11,107",4.2,"1,330",313
Other Makkah,2015,174.3,862,135,4.9,776,157
Other Makkah,2016,151.2,975,132,6.5,872,135
Other Makkah,2017,220,"1,099",184,5,837,168
Other Makkah,2018,260,"1,266",261,4.9,"1,002",206
Other Makkah,2019,450,"2,274",332,5.1,738,146
Other Makkah,2020,651.5,"3,428",347,5.3,532,101
Other Makkah,2021,"2,438","14,089","2,408",5.8,988,171
Other Makkah,2022,"3,136","15,334","2,384",4.9,760,156
Other Makkah,2023,"1,971","16,147","1,948",8.2,988,121
Other Makkah,2024,"1,785","17,735","1,642",9.9,920,93
Rabigh,2015,43.8,157.2,23,3.6,528,147
Rabigh,2016,27,92,10,3.4,387,114
Rabigh,2017,77,166,27,2.2,351,162
Rabigh,2018,77,201,27,2.6,359,137
Rabigh,2019,109,469,60,4.3,550,127
Rabigh,2020,129.7,559,55,4.3,423,98
Rabigh,2021,319,"1,001",193,3.1,607,193
Rabigh,2022,341,"1,088",209,3.2,613,192
Rabigh,2023,398,"1,211",257,3,644,212
Rabigh,2024,459,"2,041",314,4.5,685,154
Taif,2015,"2,379","13,285","2,434",5.6,"1,023",183
Taif,2016,"2,817","14,384","2,635",5.1,935,183
Taif,2017,"2,477","11,296","1,996",4.6,806,177
Taif,2018,"2,318","9,975","1,687",4.3,728,169
Taif,2019,"2,395","12,569","2,009",5.3,839,160
Taif,2020,"1,571","10,387","1,556",6.6,991,150
Taif,2021,"2,688","11,672","3,006",4.3,"1,118",258
Taif,2022,"2,747","12,923","2,807",4.7,"1,022",217
Taif,2023,"3,333","16,738","3,254",5,976,194
Taif,2024,"3,651","18,487","3,290",5.1,901,178
