 DESTINATION, YEARS , Tourists Number (Overnight Visitors) (000) , Overnight Stay (000) , Tourists Spending (SAR Mn) , Average Length of Stay (Night) , Avergae Spending per Trip (SAR) , Average Spending per Night (SAR) 
Makkah Province,2015,"9,862","133,471","53,398",13.5,"5,414",400
Makkah Province,2016,"9,950","148,157","61,175",14.9,"6,148",413
Makkah Province,2017,"10,533","151,280","75,812",14.4,"7,198",501
Makkah Province,2018,"10,036","149,734","72,042",14.9,"7,178",481
Makkah Province,2019,"10,989","154,829","74,948",14.1,"6,820",484
Makkah Province,2020,"1,942","22,785","11,694",11.7,"6,023",513
Makkah Province,2021,689,"5,892","2,964",8.6,"4,303",503
Makkah Province,2022,"9,412","188,811","74,445",20.1,"7,909",394
Makkah Province,2023,"17,015","316,400","111,487",18.6,"6,552",352
Makkah Province,2024,"19,570","430,796","140,770",22,"7,193",327
Jeddah,2015,855,"10,563","4,502",12.4,"5,268",426
Jeddah,2016,"1,324","26,694","4,663",20.2,"3,523",175
Jeddah,2017,993,"19,714","3,431",19.9,"3,456",174
Jeddah,2018,705,"10,661","3,079",15.1,"4,365",289
Jeddah,2019,768,"9,660","4,878",12.6,"6,349",505
Jeddah,2020,78,663,238,8.5,"3,043",360
Jeddah,2021,366,"2,387","1,077",6.5,"2,941",451
Jeddah,2022,"1,194","43,452","10,356",36.4,"8,670",238
Jeddah,2023,"1,555","41,548","9,284",26.7,"5,969",223
Jeddah,2024,"2,073","61,594","11,810",29.7,"5,697",192
Makkah,2015,"8,954.20","122,160.50","48,498",13.6,"5,416",397
Makkah,2016,"8,617.70","121,362","56,472",14.1,"6,553",465
Makkah,2017,"9,532","131,463","72,343",13.8,"7,589",550
Makkah,2018,"9,323","138,973","68,949",14.9,"7,395",496
Makkah,2019,"10,209","145,051","70,011",14.2,"6,858",483
Makkah,2020,"1,858.40","22,097","11,444",11.9,"6,158",518
Makkah,2021,318,"3,453","1,872",10.8,"5,879",542
Makkah,2022,"8,193","145,139","64,013",17.7,"7,813",441
Makkah,2023,"15,378","274,219","101,977",17.8,"6,631",372
Makkah,2024,"17,448","368,244","128,810",21.1,"7,383",350
Other Makkah,2015,10.4,204.3,92,19.6,"8,866",453
Other Makkah,2016,5.1,74,26,14.4,"5,121",355
Other Makkah,2017,2,16,3,10.5,"2,272",215
Other Makkah,2018,1,14,2,10.2,"1,528",150
Other Makkah,2019,8,57,42,7.4,"5,434",735
Other Makkah,2020,0.4,5,2,11.3,"5,558",491
Other Makkah,2021,1,14,5,13.4,"4,530",338
Other Makkah,2022,,6,1,33.8,"5,057",150
Other Makkah,2023,6,57,21,10,"3,731",375
Other Makkah,2024,1,69,11,57.2,"9,288",162
Rabigh,2015,1.1,13.9,5,13.2,"4,839",367
Rabigh,2017,0.8,9,5,12,"6,800",567
Rabigh,2018,1,9,1,12,"1,792",149
Rabigh,2019,1,12,6,15.5,"7,348",473
Rabigh,2020,1,5,2,8,"2,998",374
Rabigh,2021,0.4,5,2,12.6,"4,144",329
Rabigh,2023,,3,,41.3,"4,921",119
Rabigh,2024,,,,18.9,"3,616",191
Taif,2015,42,529,300,12.6,"7,166",568
Taif,2016,3,27,14,8.6,"4,432",514
Taif,2017,6,77,30,13.7,"5,340",390
Taif,2018,6,77,11,13.4,"1,895",141
Taif,2019,3,49,11,18.2,"3,968",218
Taif,2020,4,16,7,4.1,"1,886",456
Taif,2021,3,32,8,12.4,"3,205",258
Taif,2022,25,214,76,8.7,"3,096",357
Taif,2023,75,573,205,7.6,"2,722",358
Taif,2024,49,889,139,18.3,"2,859",157
