 DESTINATION, YEARS , Tourists Number (Overnight Visitors) (000) , Overnight Stay (000) , Tourists Spending (SAR Mn) , Average Length of Stay (Night) , Avergae Spending per Trip (SAR) , Average Spending per Night (SAR) 
Najran Province,2015,432,"2,749",482,6.4,"1,116",175
Najran Province,2016,527,"3,335",683,6.3,"1,295",205
Najran Province,2017,600,"4,554",681,7.6,"1,135",150
Najran Province,2018,622,"5,502",870,8.9,"1,399",158
Najran Province,2019,564,"6,220",884,11,"1,567",142
Najran Province,2020,612,"6,145",753,10.1,"1,231",123
Najran Province,2021,864,"8,770","2,098",10.2,"2,430",239
Najran Province,2022,"1,110","8,810","1,943",7.9,"1,751",221
Najran Province,2023,"1,160","10,033","2,041",8.7,"1,759",203
Najran Province,2024,"1,259","11,352","2,115",9,"1,680",186
Najran,2015,348,"2,285",362,6.6,"1,040",158
Najran,2016,401,"2,727",575,6.8,"1,432",211
Najran,2017,395,"2,797",413,7.1,"1,046",148
Najran,2018,462,"3,901",571,8.4,"1,235",146
Najran,2019,395,"4,368",592,11.1,"1,500",136
Najran,2020,390,"4,278",493,11,"1,264",115
Najran,2021,674,"7,126","1,817",10.6,"2,695",255
Najran,2022,947,"7,700","1,744",8.1,"1,840",226
Najran,2023,992,"8,735","1,826",8.8,"1,841",209
Najran,2024,"1,026","8,907","1,862",8.7,"1,815",209
Other Najran,2015,84.2,464,120,5.5,"1,428",259
Other Najran,2016,126,608,108,4.8,858,178
Other Najran,2017,205,"1,757",268,8.6,"1,307",153
Other Najran,2018,159,"1,601",299,10.1,"1,874",187
Other Najran,2019,170,"1,852",292,10.9,"1,724",158
Other Najran,2020,222.1,"1,867",261,8.4,"1,173",140
Other Najran,2021,190,"1,644",281,8.7,"1,485",171
Other Najran,2022,162,"1,110",200,6.9,"1,232",180
Other Najran,2023,169,"1,298",215,7.7,"1,276",166
Other Najran,2024,233,"2,445",254,10.5,"1,088",104
