 DESTINATION, YEARS , Tourists Number (Overnight Visitors) (000) , Overnight Stay (000) , Tourists Spending (SAR Mn) , Average Length of Stay (Night) , Avergae Spending per Trip (SAR) , Average Spending per Night (SAR) 
Najran Province,2015,14,76,62,5.3,"4,312",817
Najran Province,2016,1,17,4,11.4,"3,045",267
Najran Province,2018,15,202,48,13.2,"3,155",240
Najran Province,2019,7,59,10,9.1,"1,576",172
Najran Province,2020,9,165,69,18.9,"7,951",420
Najran Province,2021,4,78,19,19.2,"4,743",248
Najran Province,2022,7,100,21,14,"2,972",212
Najran Province,2023,17,164,42,9.4,"2,427",258
Najran Province,2024,24,"1,051",56,43.2,"2,309",53
Najran Province,2024,"1,259","11,352","2,115",9,"1,680",186
Najran,2015,7,59,37,7.9,"5,005",634
Najran,2016,1,13,3,17,"3,711",218
Najran,2018,13,195,45,15.5,"3,552",229
Najran,2019,4,50,7,11.2,"1,672",149
Najran,2020,7,156,67,22.7,"9,717",428
Najran,2021,4,77,19,20.8,"5,041",243
Najran,2022,7,99,21,14.2,"2,969",209
Najran,2023,14,148,37,10.8,"2,694",249
Najran,2024,9,239,18,25.4,"1,925",76
Other Najran,2015,7,17,25,2.5,"3,573","1,438"
Other Najran,2016,0.7,3.4,2,5,"2,281",456
Other Najran,2018,2.8,7,4,2.6,"1,377",537
Other Najran,2019,2,10,3,4.7,"1,371",291
Other Najran,2020,2,9,3,5,"1,415",285
Other Najran,2021,,1,1,2.9,"1,738",603
Other Najran,2022,0.1,,,3,"3,110","1,037"
Other Najran,2023,4,15,5,4.1,"1,434",347
Other Najran,2024,15,812,38,54.4,"2,551",47
