 DESTINATION, YEARS , Tourists Number (Overnight Visitors) (000) , Overnight Stay (000) , Tourists Spending (SAR Mn) , Average Length of Stay (Night) , Avergae Spending per Trip (SAR) , Average Spending per Night (SAR) 
Northern Borders Province,2015,399,"1,464",272,3.7,682,186
Northern Borders Province,2016,276,"1,618",333,5.9,"1,204",206
Northern Borders Province,2017,202,"1,260",183,6.2,903,145
Northern Borders Province,2018,263,"1,953",329,7.4,"1,252",169
Northern Borders Province,2019,387,"2,560",629,6.6,"1,624",246
Northern Borders Province,2020,707,"4,626",870,6.6,"1,231",188
Northern Borders Province,2021,850,"5,610","1,802",6.6,"2,121",321
Northern Borders Province,2022,"1,015","5,276","2,574",5.2,"2,537",488
Northern Borders Province,2023,"1,070","7,540","1,984",7,"1,853",263
Northern Borders Province,2024,"1,090","8,262","1,843",7.6,"1,692",223
Arar,2015,195,825,175,4.2,896,212
Arar,2016,154,858,180,5.6,"1,171",210
Arar,2017,148,"1,012",142,6.8,960,141
Arar,2018,177,"1,431",222,8.1,"1,254",155
Arar,2019,215,"1,469",338,6.9,"1,576",230
Arar,2020,404,"2,649",478,6.6,"1,183",181
Arar,2021,463,"2,991",897,6.5,"1,937",300
Arar,2022,582,"2,866","1,288",4.9,"2,213",449
Arar,2023,563,"3,977","1,258",7.1,"2,236",316
Arar,2024,626,"4,205","1,232",6.7,"1,968",293
Other Northern Borders,2015,204,639.1,97,3.1,476,152
Other Northern Borders,2016,122.2,760,152,6.2,"1,246",200
Other Northern Borders,2017,54,248,40,4.6,745,162
Other Northern Borders,2018,86,522,107,6.1,"1,249",206
Other Northern Borders,2019,173,"1,091",291,6.3,"1,684",266
Other Northern Borders,2020,302.3,"1,977",392,6.5,"1,296",198
Other Northern Borders,2021,386,"2,619",904,6.8,"2,341",345
Other Northern Borders,2022,433,"2,411","1,286",5.6,"2,972",533
Other Northern Borders,2023,508,"3,563",726,7,"1,430",204
Other Northern Borders,2024,463,"4,057",611,8.8,"1,318",151
