 DESTINATION, YEARS , Tourists Number (Overnight Visitors) (000) , Overnight Stay (000) , Tourists Spending (SAR Mn) , Average Length of Stay (Night) , Avergae Spending per Trip (SAR) , Average Spending per Night (SAR) 
Northern Borders Province,2015,890,"1,123",867,1.3,974,772
Northern Borders Province,2016,361,705,583,2,"1,616",826
Northern Borders Province,2017,268,333,457,1.2,"1,707","1,372"
Northern Borders Province,2018,253,328,397,1.3,"1,569","1,208"
Northern Borders Province,2019,320,430,560,1.3,"1,749","1,303"
Northern Borders Province,2020,78,97,144,1.3,"1,846","1,481"
Northern Borders Province,2021,126,151,255,1.2,"2,016","1,685"
Northern Borders Province,2022,598,"1,116",435,1.9,727,390
Northern Borders Province,2023,356,"2,084",536,5.9,"1,503",257
Northern Borders Province,2024,528,"2,860","1,200",5.4,"2,273",420
Arar,2015,830,971,759,1.2,915,782
Arar,2016,274,576,447,2.1,"1,629",776
Arar,2017,170,211,281,1.2,"1,652","1,332"
Arar,2018,164,210,249,1.3,"1,522","1,186"
Arar,2019,211,283,358,1.3,"1,695","1,265"
Arar,2020,55,69,100,1.3,"1,818","1,446"
Arar,2021,92,111,188,1.2,"2,043","1,695"
Arar,2022,384,722,308,1.9,801,427
Arar,2023,173,912,214,5.3,"1,237",234
Arar,2024,284,"1,332",484,4.7,"1,706",363
Other Northern Borders,2015,60.7,152.6,108,2.5,"1,787",710
Other Northern Borders,2016,86.4,130,136,1.5,"1,576","1,051"
Other Northern Borders,2017,98,122,176,1.3,"1,804","1,442"
Other Northern Borders,2018,89,118,148,1.3,"1,656","1,247"
Other Northern Borders,2019,109,147,202,1.4,"1,854","1,376"
Other Northern Borders,2020,23.1,28,44,1.2,"1,912","1,567"
Other Northern Borders,2021,35,41,67,1.2,"1,944","1,656"
Other Northern Borders,2022,214,395,127,1.8,593,322
Other Northern Borders,2023,183,"1,172",322,6.4,"1,755",274
Other Northern Borders,2024,244,"1,528",716,6.3,"2,933",469
