 DESTINATION, YEARS , Tourists Number (Overnight Visitors) (000) , Overnight Stay (000) , Tourists Spending (SAR Mn) , Average Length of Stay (Night) , Avergae Spending per Trip (SAR) , Average Spending per Night (SAR) 
Riyadh Province,2015,"4,953","24,617","6,158",5,"1,243",250
Riyadh Province,2016,"4,468","26,196","7,518",5.9,"1,683",287
Riyadh Province,2017,"4,105","22,132","4,916",5.4,"1,198",222
Riyadh Province,2018,"4,306","24,493","6,028",5.7,"1,400",246
Riyadh Province,2019,"5,940","35,526","10,774",6,"1,814",303
Riyadh Province,2020,"6,825","31,954","7,493",4.7,"1,098",234
Riyadh Province,2021,"11,606","55,439","21,108",4.8,"1,819",381
Riyadh Province,2022,"16,144","72,030","24,947",4.5,"1,545",346
Riyadh Province,2023,"16,348","98,364","28,576",6,"1,748",291
Riyadh Province,2024,"17,597","107,571","29,493",6.1,"1,676",274
Riyadh,2015,"4,292.40","21,961.30","5,822",5.1,"1,356",265
Riyadh,2016,"4,157.90","24,590","7,263",5.9,"1,747",295
Riyadh,2017,"3,680","18,827","4,513",5.1,"1,226",240
Riyadh,2018,"3,788","21,041","5,255",5.6,"1,387",250
Riyadh,2019,"5,049","29,725","9,805",5.9,"1,942",330
Riyadh,2020,"5,085.90","22,345","6,520",4.4,"1,282",292
Riyadh,2021,"8,361","37,599","17,816",4.5,"2,131",474
Riyadh,2022,"10,426","46,438","20,320",4.5,"1,949",438
Riyadh,2023,"12,343","68,917","23,661",5.6,"1,917",343
Riyadh,2024,"12,716","76,116","25,154",6,"1,978",330
Other Riyadh,2015,661,"2,656",336,4,509,127
Other Riyadh,2016,310,"1,606",255,5.2,824,159
Other Riyadh,2017,424,"3,305",403,7.8,950,122
Other Riyadh,2018,518,"3,452",772,6.7,"1,490",224
Other Riyadh,2019,891,"5,801",969,6.5,"1,087",167
Other Riyadh,2020,"1,740","9,609",973,5.5,559,101
Other Riyadh,2021,"3,245","17,840","3,292",5.5,"1,014",185
Other Riyadh,2022,"5,718","25,592","4,627",4.5,809,181
Other Riyadh,2023,"4,005","29,447","4,915",7.4,"1,227",167
Other Riyadh,2024,"4,881","31,455","4,339",6.4,889,138
