 DESTINATION, YEARS , Tourists Number (Overnight Visitors) (000) , Overnight Stay (000) , Tourists Spending (SAR Mn) , Average Length of Stay (Night) , Avergae Spending per Trip (SAR) , Average Spending per Night (SAR) 
Riyadh Province,2015,"2,021","8,639","9,897",4.3,"4,897","1,146"
Riyadh Province,2016,"3,242","14,918","20,739",4.6,"6,396","1,390"
Riyadh Province,2017,"1,998","8,922","12,849",4.5,"6,430","1,440"
Riyadh Province,2018,"2,010","10,147","12,021",5.1,"5,980","1,185"
Riyadh Province,2019,"2,933","19,719","16,943",6.7,"5,777",859
Riyadh Province,2020,"1,065","9,437","4,967",8.9,"4,666",526
Riyadh Province,2021,"1,223","14,859","7,472",12.2,"6,107",503
Riyadh Province,2022,"1,911","41,957","11,535",22,"6,037",275
Riyadh Province,2023,"3,010","56,979","12,542",18.9,"4,167",220
Riyadh Province,2024,"2,861","40,617","10,574",14.2,"3,696",260
Riyadh,2015,"1,917.00","8,327.10","9,731",4.3,"5,076","1,169"
Riyadh,2016,"3,203.30","14,778","20,671",4.6,"6,453","1,399"
Riyadh,2017,"1,943","8,716","12,724",4.5,"6,548","1,460"
Riyadh,2018,"1,958","9,950","11,923",5.1,"6,090","1,198"
Riyadh,2019,"2,862","19,485","16,788",6.8,"5,865",862
Riyadh,2020,"1,038.00","9,319","4,899",9,"4,719",526
Riyadh,2021,"1,185","14,557","7,352",12.3,"6,203",505
Riyadh,2022,"1,810","41,553","11,303",23,"6,245",272
Riyadh,2023,"2,774","52,163","11,759",18.8,"4,240",225
Riyadh,2024,"2,699","37,845","10,269",14,"3,805",271
Other Riyadh,2015,104,312,166,3,"1,596",531
Other Riyadh,2016,39,140,67,3.6,"1,724",483
Other Riyadh,2017,55,206,124,3.8,"2,269",605
Other Riyadh,2018,53,198,99,3.8,"1,870",498
Other Riyadh,2019,70,234,155,3.3,"2,204",662
Other Riyadh,2020,27,118,68,4.4,"2,570",579
Other Riyadh,2021,38,302,120,7.9,"3,140",397
Other Riyadh,2022,101,403,232,4,"2,308",575
Other Riyadh,2023,236,"4,816",783,20.4,"3,311",163
Other Riyadh,2024,162,"2,772",304,17.1,"1,881",110
