 DESTINATION, YEARS , Tourists Number (Overnight Visitors) (000) , Overnight Stay (000) , Tourists Spending (SAR Mn) , Average Length of Stay (Night) , Avergae Spending per Trip (SAR) , Average Spending per Night (SAR) 
Tabuk Province,2015,"1,164","4,769",980,4.1,842,206
Tabuk Province,2016,"1,150","4,936","1,000",4.3,869,203
Tabuk Province,2017,"1,228","5,965","1,008",4.9,821,169
Tabuk Province,2018,"1,246","6,807","1,218",5.5,977,179
Tabuk Province,2019,"1,441","8,605","2,050",6,"1,423",238
Tabuk Province,2020,"2,043","11,677","2,765",5.7,"1,354",237
Tabuk Province,2021,"2,288","12,673","4,286",5.5,"1,873",338
Tabuk Province,2022,"2,610","14,063","5,378",5.4,"2,061",382
Tabuk Province,2023,"2,817","18,465","4,202",6.6,"1,491",228
Tabuk Province,2024,"3,090","21,462","4,880",6.9,"1,579",227
Al Wajh,2015,30.3,102.5,38,3.4,"1,262",373
Al Wajh,2016,56.8,227,53,4,941,236
Al Wajh,2017,54,453,49,8.4,917,109
Al Wajh,2018,60,453,57,7.5,951,126
Al Wajh,2019,78,579,99,7.5,"1,277",171
Al Wajh,2020,99.2,649,97,6.6,982,150
Al Wajh,2021,130,690,219,5.3,"1,680",317
Al Wajh,2022,146,764,265,5.2,"1,822",348
Al Wajh,2023,189,"1,798",182,9.5,959,101
Al Wajh,2024,207,"1,926",216,9.3,"1,039",112
Duba,2015,43,190,42,4.4,975,220
Duba,2016,99,265,55,2.7,555,207
Duba,2017,69,233,61,3.4,892,263
Duba,2018,108,446,114,4.1,"1,052",255
Duba,2019,148,832,266,5.6,"1,790",320
Duba,2020,230,"1,149",344,5,"1,498",299
Duba,2021,181,799,427,4.4,"2,359",534
Duba,2022,220,916,516,4.2,"2,350",563
Duba,2023,294,953,196,3.2,667,206
Duba,2024,311,"1,188",181,3.8,582,152
Other Tabuk,2015,334,"1,162",203,3.5,606,174
Other Tabuk,2016,178,818,169,4.6,949,206
Other Tabuk,2017,173,662,142,3.8,816,214
Other Tabuk,2018,200,708,149,3.5,742,210
Other Tabuk,2019,355,"1,558",533,4.4,"1,503",342
Other Tabuk,2020,686,"3,521","1,046",5.1,"1,525",297
Other Tabuk,2021,392,"1,843",935,4.7,"2,383",507
Other Tabuk,2022,397,"1,762","1,186",4.4,"2,983",673
Other Tabuk,2023,462,"3,448",282,7.5,609,82
Other Tabuk,2024,477,"2,854",308,6,644,108
Tabuk,2015,648,"2,957.50",610,4.6,941,206
Tabuk,2016,725.2,"3,362",653,4.6,900,194
Tabuk,2017,861,"4,394",709,5.1,823,161
Tabuk,2018,793,"4,706",811,5.9,"1,023",172
Tabuk,2019,773,"5,166","1,045",6.7,"1,352",202
Tabuk,2020,927.9,"5,636","1,169",6.1,"1,260",207
Tabuk,2021,"1,407","8,265","2,460",5.9,"1,749",298
Tabuk,2022,"1,675","9,761","3,097",5.8,"1,849",317
Tabuk,2023,"1,654","10,881","3,330",6.6,"2,013",306
Tabuk,2024,"1,843","13,440","3,795",7.3,"2,059",282
Umluj,2015,109,357,87,3.3,804,245
Umluj,2016,91,264,70,2.9,766,265
Umluj,2017,72,223,47,3.1,658,212
Umluj,2018,85,495,87,5.8,"1,032",177
Umluj,2019,87,470,107,5.4,"1,229",228
Umluj,2020,100,721,108,7.2,"1,084",150
Umluj,2021,178,"1,076",246,6,"1,379",229
Umluj,2022,172,861,314,5,"1,825",365
Umluj,2023,217,"1,385",212,6.4,980,153
Umluj,2024,252,"2,054",381,8.2,"1,511",185
