 DESTINATION, YEARS , Tourists Number (Overnight Visitors) (000) , Overnight Stay (000) , Tourists Spending (SAR Mn) , Average Length of Stay (Night) , Avergae Spending per Trip (SAR) , Average Spending per Night (SAR) 
Tabuk Province,2015,298,"1,477",754,5,"2,529",511
Tabuk Province,2016,134,914,379,6.8,"2,826",415
Tabuk Province,2017,105,403,255,3.8,"2,437",635
Tabuk Province,2018,110,542,239,4.9,"2,163",441
Tabuk Province,2019,112,494,301,4.4,"2,688",609
Tabuk Province,2020,21,186,110,8.7,"5,138",594
Tabuk Province,2021,38,421,222,11.2,"5,907",526
Tabuk Province,2022,86,"1,259",306,14.6,"3,545",243
Tabuk Province,2023,138,"1,177",341,8.5,"2,472",290
Tabuk Province,2024,154,"4,581",932,29.7,"6,050",203
Al Wajh,2016,1.2,3.4,3,2.7,"2,273",831
Al Wajh,2019,0.4,2,2,5,"5,050","1,010"
Al Wajh,2022,,4,2,9,"3,350",372
Al Wajh,2023,3,24,10,8.4,"3,535",423
Al Wajh,2024,2,104,16,42.2,"6,607",157
Duba,2015,10.4,55,37,5.3,"3,551",675
Duba,2016,14,60,34,4.1,"2,319",562
Duba,2017,9,27,24,3.1,"2,773",887
Duba,2018,11,63,18,5.5,"1,587",287
Duba,2019,9,60,20,6.4,"2,186",342
Duba,2020,3,46,21,14.8,"6,830",463
Duba,2021,2,7,9,3.2,"3,768","1,181"
Duba,2022,2,20,6,8.9,"2,843",320
Duba,2023,12,110,32,9.5,"2,775",293
Duba,2024,11,293,85,26.3,"7,659",291
Other Tabuk,2015,48,100,64,2.1,"1,331",640
Other Tabuk,2016,13,90,31,7.1,"2,433",343
Other Tabuk,2017,7,24,17,3.5,"2,436",696
Other Tabuk,2018,6,21,10,3.6,"1,841",507
Other Tabuk,2019,3,11,6,3.5,"1,902",551
Other Tabuk,2020,1,6,3,8.3,"4,153",501
Other Tabuk,2021,,1,1,7.8,"4,745",611
Other Tabuk,2022,,1,,9,"5,255",584
Other Tabuk,2023,11,82,23,7.8,"2,145",277
Other Tabuk,2024,9,131,20,14.1,"2,194",155
Tabuk,2015,240,"1,322",653,5.5,"2,725",494
Tabuk,2016,106,760,312,7.2,"2,949",410
Tabuk,2017,89,351,214,3.9,"2,404",611
Tabuk,2018,93,456,209,4.9,"2,252",459
Tabuk,2019,99,420,272,4.3,"2,752",646
Tabuk,2020,17.7,134.1,86,7.6,"4,882",643
Tabuk,2021,12.8,78,77,6.1,"6,061",988
Tabuk,2022,83,"1,229",296,14.9,"3,578",241
Tabuk,2023,106,910,259,8.6,"2,446",284
Tabuk,2024,126,"3,866",753,30.7,"5,978",195
Umluj,2018,0.3,2,1,5.3,"2,744",516
Umluj,2019,,1,,4.3,"1,838",430
Umluj,2021,22,334,135,15,"6,050",403
Umluj,2022,1,5,2,6.4,"2,025",319
Umluj,2023,7,51,17,7.2,"2,438",340
Umluj,2024,5,186,58,35.2,"10,882",309
