Year,Economic Sectors ID,Economic Sectors,Nationality ID,Nationality,Tourist Type Name ID,Tourist Type Name,Night
2015,Z,Tourism,1,Saudi,3,Outbound,7.586599436023795
2015,Z,Tourism,2,Non Saudi,3,Outbound,28.19082416265681
2015,Z,Tourism,3,Total,1,Inbound,10.364944724485232
2015,Z,Tourism,3,Total,2,Domestic,5.148014927975265
2015,Z,Tourism,3,Total,3,Outbound,13.265240558076066
2016,Z,Tourism,1,Saudi,3,Outbound,6.527750980517463
2016,Z,Tourism,2,Non Saudi,3,Outbound,23.44342794210766
2016,Z,Tourism,3,Total,1,Inbound,9.895288509566868
2016,Z,Tourism,3,Total,2,Domestic,5.227405380752814
2016,Z,Tourism,3,Total,3,Outbound,16.144614827310814
2017,Z,Tourism,1,Saudi,3,Outbound,6.788913583719086
2017,Z,Tourism,2,Non Saudi,3,Outbound,21.867220797101282
2017,Z,Tourism,3,Total,1,Inbound,9.541493085486387
2017,Z,Tourism,3,Total,2,Domestic,5.092103266411288
2017,Z,Tourism,3,Total,3,Outbound,15.669422543644911
2018,Z,Tourism,1,Saudi,3,Outbound,6.603094712714609
2018,Z,Tourism,2,Non Saudi,3,Outbound,21.79943220990627
2018,Z,Tourism,3,Total,1,Inbound,10.103631714829431
2018,Z,Tourism,3,Total,2,Domestic,5.338070001030901
2018,Z,Tourism,3,Total,3,Outbound,14.267872509710244
2019,Z,Tourism,1,Saudi,3,Outbound,6.593907698702746
2019,Z,Tourism,2,Non Saudi,3,Outbound,24.494268225018956
2019,Z,Tourism,3,Total,1,Inbound,9.787365828057085
2019,Z,Tourism,3,Total,2,Domestic,5.616729918683766
2019,Z,Tourism,3,Total,3,Outbound,15.380048510167937
2020,Z,Tourism,1,Saudi,3,Outbound,2.0681717046931896
2020,Z,Tourism,2,Non Saudi,3,Outbound,27.525790932316706
2020,Z,Tourism,3,Total,1,Inbound,5.904015178363646
2020,Z,Tourism,3,Total,2,Domestic,5.307282443977861
2020,Z,Tourism,3,Total,3,Outbound,25.2705770143744
2021,Z,Tourism,1,Saudi,3,Outbound,7.290833333333334
2021,Z,Tourism,2,Non Saudi,3,Outbound,21.043333333333333
2021,Z,Tourism,3,Total,1,Inbound,8.58022498626413
2021,Z,Tourism,3,Total,2,Domestic,5.4141692325971285
2021,Z,Tourism,3,Total,3,Outbound,17.513333333333332
2022,Z,Tourism,1,Saudi,3,Outbound,5.0635824857754255
2022,Z,Tourism,2,Non Saudi,3,Outbound,17.240521222253925
2022,Z,Tourism,3,Total,1,Inbound,16.555209530468392
2022,Z,Tourism,3,Total,2,Domestic,4.58385824206984
2022,Z,Tourism,3,Total,3,Outbound,10.592786945666901
2023,Z,Tourism,1,Saudi,3,Outbound,6.917860649495085
2023,Z,Tourism,2,Non Saudi,3,Outbound,31.89785689950394
2023,Z,Tourism,3,Total,1,Inbound,15.649365849335007
2023,Z,Tourism,3,Total,2,Domestic,5.926873683256617
2023,Z,Tourism,3,Total,3,Outbound,17.825457631944982
2024,Z,Tourism,3,Total,1,Inbound,19.217499999999998
2024,Z,Tourism,3,Total,2,Domestic,6.109166666666667
2025,Z,Tourism,3,Total,1,Inbound,18.874166666666664
2025,Z,Tourism,3,Total,2,Domestic,6.007499999999999
