Year,Economic Sectors ID,Economic Sectors,Nationality ID,Nationality,Tourist Type Name ID,Tourist Type Name,SAR
2015,Z,Tourism,1,Saudi,3,Outbound,501.7211646350911
2015,Z,Tourism,2,Non Saudi,3,Outbound,171.13621560852755
2015,Z,Tourism,3,Total,1,Inbound,456.87580265049337
2015,Z,Tourism,3,Total,2,Domestic,204.59980382904416
2015,Z,Tourism,3,Total,3,Outbound,308.5414365466309
2016,Z,Tourism,1,Saudi,3,Outbound,600.4678378769216
2016,Z,Tourism,2,Non Saudi,3,Outbound,226.38630814657154
2016,Z,Tourism,3,Total,1,Inbound,517.824441552108
2016,Z,Tourism,3,Total,2,Domestic,237.20992058866963
2016,Z,Tourism,3,Total,3,Outbound,293.1540249316504
2017,Z,Tourism,1,Saudi,3,Outbound,511.70345319776425
2017,Z,Tourism,2,Non Saudi,3,Outbound,183.5252323163232
2017,Z,Tourism,3,Total,1,Inbound,588.8522178227405
2017,Z,Tourism,3,Total,2,Domestic,208.91007663232327
2017,Z,Tourism,3,Total,3,Outbound,243.0357642337464
2018,Z,Tourism,1,Saudi,3,Outbound,530.3315951266251
2018,Z,Tourism,2,Non Saudi,3,Outbound,159.7213874429012
2018,Z,Tourism,3,Total,1,Inbound,566.1570957072535
2018,Z,Tourism,3,Total,2,Domestic,209.04541112095364
2018,Z,Tourism,3,Total,3,Outbound,245.57144449685407
2019,Z,Tourism,1,Saudi,3,Outbound,540.6931056208092
2019,Z,Tourism,2,Non Saudi,3,Outbound,148.30554819046372
2019,Z,Tourism,3,Total,1,Inbound,544.0451782422559
2019,Z,Tourism,3,Total,2,Domestic,224.14764301708928
2019,Z,Tourism,3,Total,3,Outbound,236.80613000916276
2020,Z,Tourism,1,Saudi,3,Outbound,189.921161255971
2020,Z,Tourism,2,Non Saudi,3,Outbound,178.62234882061497
2020,Z,Tourism,3,Total,1,Inbound,669.8159156430339
2020,Z,Tourism,3,Total,2,Domestic,199.06462993043604
2020,Z,Tourism,3,Total,3,Outbound,202.9479027618057
2021,Z,Tourism,1,Saudi,3,Outbound,666.7325000000001
2021,Z,Tourism,2,Non Saudi,3,Outbound,352.6891666666667
2021,Z,Tourism,3,Total,1,Inbound,500.6933333333334
2021,Z,Tourism,3,Total,2,Domestic,298.5541666666667
2021,Z,Tourism,3,Total,3,Outbound,408.5233333333333
2022,Z,Tourism,1,Saudi,3,Outbound,490.21583333333336
2022,Z,Tourism,2,Non Saudi,3,Outbound,192.01250000000002
2022,Z,Tourism,3,Total,1,Inbound,372.03666666666663
2022,Z,Tourism,3,Total,2,Domestic,296.8641666666667
2022,Z,Tourism,3,Total,3,Outbound,268.29583333333335
2023,Z,Tourism,1,Saudi,3,Outbound,332.82500000000005
2023,Z,Tourism,2,Non Saudi,3,Outbound,175.265
2023,Z,Tourism,3,Total,1,Inbound,313.9
2023,Z,Tourism,3,Total,2,Domestic,237.26166666666666
2023,Z,Tourism,3,Total,3,Outbound,209.03499999999997
2024,Z,Tourism,3,Total,1,Inbound,294.1383333333334
2024,Z,Tourism,3,Total,2,Domestic,224.72333333333336
2025,Z,Tourism,3,Total,1,Inbound,315.72333333333336
2025,Z,Tourism,3,Total,2,Domestic,224.74166666666665
