Year,Economic Sectors ID,Economic Sectors,Nationality ID,Nationality,Tourist Type Name ID,Tourist Type Name,SAR
2015,Z,Tourism,1,Saudi,3,Outbound,3778.2981730231077
2015,Z,Tourism,2,Non Saudi,3,Outbound,4935.949748934183
2015,Z,Tourism,3,Total,1,Inbound,4598.070573265232
2015,Z,Tourism,3,Total,2,Domestic,1042.8928371414702
2015,Z,Tourism,3,Total,3,Outbound,4099.634245133355
2016,Z,Tourism,1,Saudi,3,Outbound,3886.7388942830635
2016,Z,Tourism,2,Non Saudi,3,Outbound,5257.5634488774685
2016,Z,Tourism,3,Total,1,Inbound,4923.056137077679
2016,Z,Tourism,3,Total,2,Domestic,1235.467554739729
2016,Z,Tourism,3,Total,3,Outbound,4619.285128275961
2017,Z,Tourism,1,Saudi,3,Outbound,3448.2898832174437
2017,Z,Tourism,2,Non Saudi,3,Outbound,3865.332843055175
2017,Z,Tourism,3,Total,1,Inbound,5524.517405920818
2017,Z,Tourism,3,Total,2,Domestic,1052.4752482045922
2017,Z,Tourism,3,Total,3,Outbound,3682.865747411508
2018,Z,Tourism,1,Saudi,3,Outbound,3477.0503552625255
2018,Z,Tourism,2,Non Saudi,3,Outbound,3372.562608840237
2018,Z,Tourism,3,Total,1,Inbound,5538.4143960377405
2018,Z,Tourism,3,Total,2,Domestic,1114.43573756332
2018,Z,Tourism,3,Total,3,Outbound,3424.080810769355
2019,Z,Tourism,1,Saudi,3,Outbound,3548.206486764471
2019,Z,Tourism,2,Non Saudi,3,Outbound,3593.0591200268505
2019,Z,Tourism,3,Total,1,Inbound,5303.609835116197
2019,Z,Tourism,3,Total,2,Domestic,1284.2398920398844
2019,Z,Tourism,3,Total,3,Outbound,3574.915711797879
2020,Z,Tourism,1,Saudi,3,Outbound,1310.1417181142222
2020,Z,Tourism,2,Non Saudi,3,Outbound,4689.402120217106
2020,Z,Tourism,3,Total,1,Inbound,3468.784942281362
2020,Z,Tourism,3,Total,2,Domestic,1029.2436665401171
2020,Z,Tourism,3,Total,3,Outbound,4709.109114677004
2021,Z,Tourism,1,Saudi,3,Outbound,5617.696666666667
2021,Z,Tourism,2,Non Saudi,3,Outbound,7722.474166666666
2021,Z,Tourism,3,Total,1,Inbound,4180.973333333332
2021,Z,Tourism,3,Total,2,Domestic,1585.8983333333333
2021,Z,Tourism,3,Total,3,Outbound,7393.669999999999
2022,Z,Tourism,1,Saudi,3,Outbound,2453.1875000000005
2022,Z,Tourism,2,Non Saudi,3,Outbound,3298.1349999999998
2022,Z,Tourism,3,Total,1,Inbound,5907.28
2022,Z,Tourism,3,Total,2,Domestic,1351.9483333333333
2022,Z,Tourism,3,Total,3,Outbound,2818.5983333333334
2023,Z,Tourism,1,Saudi,3,Outbound,2279.638333333334
2023,Z,Tourism,2,Non Saudi,3,Outbound,5564.528333333335
2023,Z,Tourism,3,Total,1,Inbound,5006.813333333333
2023,Z,Tourism,3,Total,2,Domestic,1389.7241666666666
2023,Z,Tourism,3,Total,3,Outbound,3674.543333333333
2024,Z,Tourism,3,Total,1,Inbound,5621.775833333333
2024,Z,Tourism,3,Total,2,Domestic,1336.4199999999998
2025,Z,Tourism,3,Total,1,Inbound,5990.555833333332
2025,Z,Tourism,3,Total,2,Domestic,1355.7958333333333
