Year,Economic Sectors ID,Economic Sectors,Nationality ID,Nationality,Trip Purpose Name ID,Trip Purpose Name,Tourists
2015,Z,Tourism,1,Saudi,2,Leisure,11373.172163435389
2015,Z,Tourism,1,Saudi,3,Business,1041.5626354697217
2015,Z,Tourism,1,Saudi,4,Visiting Friends & Relatives,1544.7403108429253
2015,Z,Tourism,1,Saudi,5,Other,1188.7353107588408
2015,Z,Tourism,2,Non Saudi,2,Leisure,179.70833781951967
2015,Z,Tourism,2,Non Saudi,3,Business,966.9216236253507
2015,Z,Tourism,2,Non Saudi,4,Visiting Friends & Relatives,583.5285550682322
2015,Z,Tourism,2,Non Saudi,5,Other,3940.4715073492534
2015,Z,Tourism,3,Total,1,Religious,20786.248748392638
2015,Z,Tourism,3,Total,2,Leisure,21963.72756138908
2015,Z,Tourism,3,Total,3,Business,16080.420734469968
2015,Z,Tourism,3,Total,4,Visiting Friends & Relatives,16220.19534737875
2015,Z,Tourism,3,Total,5,Other,10212.906571837802
2016,Z,Tourism,1,Saudi,2,Leisure,7657.313895044244
2016,Z,Tourism,1,Saudi,3,Business,352.99636982633797
2016,Z,Tourism,1,Saudi,4,Visiting Friends & Relatives,966.983592694871
2016,Z,Tourism,1,Saudi,5,Other,229.83574589884705
2016,Z,Tourism,2,Non Saudi,2,Leisure,790.530367344029
2016,Z,Tourism,2,Non Saudi,3,Business,4134.055946580207
2016,Z,Tourism,2,Non Saudi,4,Visiting Friends & Relatives,418.95026710653
2016,Z,Tourism,2,Non Saudi,5,Other,6656.1734361584995
2016,Z,Tourism,3,Total,1,Religious,20014.05749247359
2016,Z,Tourism,3,Total,2,Leisure,20458.882964306722
2016,Z,Tourism,3,Total,3,Business,17154.703125581837
2016,Z,Tourism,3,Total,4,Visiting Friends & Relatives,15084.144214426435
2016,Z,Tourism,3,Total,5,Other,11575.88942143292
2017,Z,Tourism,1,Saudi,2,Leisure,7235.529883403995
2017,Z,Tourism,1,Saudi,3,Business,160.60468457593
2017,Z,Tourism,1,Saudi,4,Visiting Friends & Relatives,1148.057446122182
2017,Z,Tourism,1,Saudi,5,Other,284.476512855196
2017,Z,Tourism,2,Non Saudi,2,Leisure,544.994157491777
2017,Z,Tourism,2,Non Saudi,3,Business,4058.00070430053
2017,Z,Tourism,2,Non Saudi,4,Visiting Friends & Relatives,123.193946006594
2017,Z,Tourism,2,Non Saudi,5,Other,7590.996237506404
2017,Z,Tourism,3,Total,1,Religious,20565.41781199937
2017,Z,Tourism,3,Total,2,Leisure,19208.924226155556
2017,Z,Tourism,3,Total,3,Business,15445.265710592861
2017,Z,Tourism,3,Total,4,Visiting Friends & Relatives,15522.16466540342
2017,Z,Tourism,3,Total,5,Other,10333.624875068965
2018,Z,Tourism,1,Saudi,2,Leisure,7991.776239270012
